Klub,Kratica,St_tekem,Povprecje,Na_40_min,BlocksFavour,Sezona
Zalgiris Kaunas,ZAL,6,5.17,1.01,31,2000
Kinder Bologna,VIR,10,2.80,0.56,28,2000
PAF Bologna,FOR,9,2.78,0.54,25,2000
FC Barcelona,BAR,6,3.50,0.70,21,2000
Tau Ceramica,BAS,12,1.50,0.30,18,2000
Union Olimpija Ljubljana,LJU,8,2.25,0.44,18,2000
Real Madrid,MAD,8,2.13,0.42,17,2000
Olympiakos,OLY,7,2.29,0.46,16,2000
Benetton Basket,TRE,8,2.00,0.39,16,2000
Hapoel Jerusalem,JER,5,2.60,0.52,13,2000
Lugano Snakes,LUG,5,2.60,0.52,13,2000
KK Buducnost,BUD,6,1.67,0.33,10,2000
PAOK BC,PAO,6,1.67,0.33,10,2000
AEK Athens,AEK,8,1.13,0.23,9,2000
Cibona VIP,CIB,6,1.50,0.29,9,2000
Haribo London Towers,LON,5,1.80,0.36,9,2000
Adecco Estudiantes,EST,6,1.17,0.23,7,2000
Peristeri,PER,6,1.17,0.23,7,2000
Saint Petersburg Lions,PET,5,1.40,0.28,7,2000
Muller Verona,VER,6,1.17,0.23,7,2000
Ovarense Aerosoles,OVA,5,1.20,0.24,6,2000
KK Zadar,ZAD,5,1.20,0.24,6,2000
Region Wallone Spirou Charleroi,CHA,5,0.80,0.16,4,2000
Opel Skyliners,FRA,5,0.60,0.12,3,2000
Real Madrid,MAD,10,3.60,0.72,36,2001
Zalgiris,ZAL,7,4.71,0.94,33,2001
Ural Great,PEM,10,3.20,0.63,32,2001
Olympiacos,OLY,10,3.00,0.60,30,2001
Kinder Bologna,VIR,11,2.64,0.53,29,2001
Union Olimpija,LJU,10,2.70,0.53,27,2001
FC Barcelona,BAR,10,2.40,0.48,24,2001
Benetton Basket,TRE,10,2.40,0.48,24,2001
CSKA Moscow,CSK,10,2.30,0.47,23,2001
KRKA Novo Mesto,MES,7,3.29,0.65,23,2001
Pau-Orthez,PAU,7,3.14,0.63,22,2001
Efes Pilsen,IST,10,2.10,0.42,21,2001
Skipper Bologna,FOR,10,2.00,0.40,20,2001
Idea Slask,WRO,7,2.86,0.57,20,2001
Asvel Basket,ASV,7,2.57,0.51,18,2001
Tau Ceramica,BAS,10,1.70,0.33,17,2001
Cibona VIP,CIB,7,2.43,0.49,17,2001
Scavolini Pesaro,PES,10,1.50,0.30,15,2001
Alba Berlin,BER,7,2.00,0.40,14,2001
KK Buducnost,BUD,7,2.00,0.40,14,2001
Unicaja,MAL,7,2.00,0.39,14,2001
Telindus Oostende,OOS,7,2.00,0.40,14,2001
AEK Athens,AEK,10,1.30,0.25,13,2001
Peristeri,PER,7,1.86,0.37,13,2001
Opel Skyliners,FRA,7,1.71,0.34,12,2001
Maccabi Elite,TEL,11,1.09,0.22,12,2001
Partizan,PAR,7,1.57,0.31,11,2001
Ulker,ULK,10,1.10,0.24,11,2001
Kinder London Towers,LON,7,1.43,0.29,10,2001
KK Zadar,ZAD,7,1.43,0.29,10,2001
Spirou Basket,CHA,7,1.14,0.22,8,2001
Panathinaikos,PAN,11,0.64,0.13,7,2001
FC Barcelona,BAR,10,3.80,0.74,38,2002
Tau Ceramica,BAS,10,3.30,0.66,33,2002
CSKA Moscow,CSK,12,2.58,0.52,31,2002
Unicaja,MAL,10,2.90,0.57,29,2002
Benetton Basket,TRE,12,2.25,0.45,27,2002
Virtus Bologna,VIR,10,2.70,0.54,27,2002
Real Madrid,MAD,7,3.43,0.67,24,2002
Maccabi Elite,TEL,10,2.20,0.44,22,2002
KK Buducnost,BUD,7,2.86,0.57,20,2002
Olympiacos,OLY,10,2.00,0.40,20,2002
Asvel Basket,ASV,10,1.90,0.38,19,2002
Pau-Orthez,PAU,7,2.57,0.51,18,2002
Efes Pilsen,IST,10,1.60,0.32,16,2002
Panathinaikos,PAN,10,1.60,0.32,16,2002
Montepaschi Siena,SIE,10,1.60,0.32,16,2002
Idea Slask,WRO,7,2.29,0.46,16,2002
Zalgiris,ZAL,7,2.29,0.45,16,2002
Skipper Bologna,FOR,10,1.50,0.30,15,2002
Alba Berlin,BER,7,2.00,0.39,14,2002
Partizan,PAR,7,1.86,0.36,13,2002
Ulker,ULK,10,1.10,0.22,11,2002
Union Olimpija,LJU,10,1.00,0.20,10,2002
Cibona VIP,CIB,10,0.90,0.18,9,2002
AEK Athens,AEK,7,1.14,0.23,8,2002
CSKA Moscow,CSK,12,3.33,0.67,40,2003
Maccabi Elite,TEL,10,3.60,0.71,36,2003
Pau-Orthez,PAU,10,3.30,0.66,33,2003
Tau Ceramica,BAS,10,3.10,0.62,31,2003
FC Barcelona,BAR,10,2.90,0.58,29,2003
Zalgiris,ZAL,10,2.70,0.53,27,2003
Benetton Basket,TRE,10,2.50,0.50,25,2003
Ulker,ULK,10,2.30,0.46,23,2003
Skipper Bologna,FOR,12,1.83,0.36,22,2003
Unicaja,MAL,7,3.00,0.59,21,2003
Lottomatica Roma,ROM,7,2.86,0.56,20,2003
Efes Pilsen,IST,10,1.90,0.38,19,2003
Olympiacos,OLY,10,1.70,0.34,17,2003
Asvel Basket,ASV,7,2.29,0.46,16,2003
Partizan,PAR,7,2.29,0.45,16,2003
Cibona VIP,CIB,10,1.50,0.30,15,2003
Montepaschi Siena,SIE,10,1.50,0.30,15,2003
Idea Slask,WRO,7,2.14,0.43,15,2003
AEK Athens,AEK,7,2.00,0.40,14,2003
Panathinaikos,PAN,10,1.40,0.27,14,2003
Pamesa Valencia,PAM,10,1.30,0.29,13,2003
