Klub,Kratica,St_tekem,Povprecje,Na_40_min,TotalRebounds,Sezona
Tau Ceramica,BAS,12,33.00,6.60,396,2000
Kinder Bologna,VIR,10,31.50,6.30,315,2000
PAF Bologna,FOR,9,32.89,6.40,296,2000
Union Olimpija Ljubljana,LJU,8,36.13,7.11,289,2000
Benetton Basket,TRE,8,31.00,6.10,248,2000
Real Madrid,MAD,8,30.25,6.05,242,2000
AEK Athens,AEK,8,29.38,5.87,235,2000
FC Barcelona,BAR,6,37.67,7.53,226,2000
KK Buducnost,BUD,6,35.17,7.03,211,2000
Cibona VIP,CIB,6,34.33,6.73,206,2000
Adecco Estudiantes,EST,6,34.17,6.83,205,2000
Olympiakos,OLY,7,28.86,5.77,202,2000
Zalgiris Kaunas,ZAL,6,33.17,6.50,199,2000
Peristeri,PER,6,32.50,6.50,195,2000
Muller Verona,VER,6,31.50,6.17,189,2000
Haribo London Towers,LON,5,36.40,7.28,182,2000
PAOK BC,PAO,6,29.67,5.93,178,2000
Region Wallone Spirou Charleroi,CHA,5,34.20,6.84,171,2000
Hapoel Jerusalem,JER,5,31.20,6.24,156,2000
Saint Petersburg Lions,PET,5,30.60,6.12,153,2000
KK Zadar,ZAD,5,30.00,6.00,150,2000
Lugano Snakes,LUG,5,29.80,5.96,149,2000
Opel Skyliners,FRA,5,29.20,5.84,146,2000
Ovarense Aerosoles,OVA,5,26.80,5.36,134,2000
Kinder Bologna,VIR,11,33.45,6.69,368,2001
Olympiacos,OLY,10,35.80,7.16,358,2001
AEK Athens,AEK,10,35.20,6.87,352,2001
FC Barcelona,BAR,10,34.10,6.82,341,2001
CSKA Moscow,CSK,10,34.00,6.99,340,2001
Tau Ceramica,BAS,10,33.00,6.44,330,2001
Maccabi Elite,TEL,11,29.82,5.90,328,2001
Real Madrid,MAD,10,32.10,6.42,321,2001
Ural Great,PEM,10,32.00,6.32,320,2001
Benetton Basket,TRE,10,31.90,6.38,319,2001
Union Olimpija,LJU,10,31.80,6.28,318,2001
Scavolini Pesaro,PES,10,31.50,6.30,315,2001
Efes Pilsen,IST,10,30.60,6.12,306,2001
Skipper Bologna,FOR,10,30.00,6.00,300,2001
Ulker,ULK,10,29.20,6.49,292,2001
Panathinaikos,PAN,11,25.55,5.14,281,2001
Opel Skyliners,FRA,7,35.00,7.00,245,2001
KRKA Novo Mesto,MES,7,32.57,6.40,228,2001
Idea Slask,WRO,7,32.57,6.51,228,2001
