Klub,Kratica,St_tekem,Povprecje,Na_40_min,TotalRebounds,Sezona
Kinder Bologna,VIR,12,36.17,7.16,434,2000
AEK Athens,AEK,10,35.80,7.07,358,2000
PAF Bologna,FOR,9,38.11,7.62,343,2000
Tau Ceramica,BAS,10,32.30,6.46,323,2000
Real Madrid,MAD,7,38.14,7.63,267,2000
PAOK BC,PAO,7,36.00,7.07,252,2000
FC Barcelona,BAR,6,39.00,7.80,234,2000
Olympiakos,OLY,7,33.29,6.66,233,2000
Adecco Estudiantes,EST,6,37.00,7.25,222,2000
Benetton Basket,TRE,7,31.14,6.23,218,2000
Muller Verona,VER,6,36.17,7.23,217,2000
Union Olimpija Ljubljana,LJU,7,30.43,6.13,213,2000
Peristeri,PER,6,34.83,6.97,209,2000
Cibona VIP,CIB,6,34.00,6.66,204,2000
Zalgiris Kaunas,ZAL,6,29.33,5.87,176,2000
Haribo London Towers,LON,5,34.20,6.84,171,2000
KK Buducnost,BUD,6,28.33,5.67,170,2000
Hapoel Jerusalem,JER,5,30.80,6.16,154,2000
Opel Skyliners,FRA,5,30.00,6.00,150,2000
Lugano Snakes,LUG,5,29.60,5.92,148,2000
Saint Petersburg Lions,PET,5,29.60,5.78,148,2000
Region Wallone Spirou Charleroi,CHA,5,29.00,5.80,145,2000
Ovarense Aerosoles,OVA,5,28.80,5.76,144,2000
KK Zadar,ZAD,5,28.20,5.50,141,2000
Kinder Bologna,VIR,11,34.64,6.93,381,2001
Benetton Basket,TRE,11,34.27,6.78,377,2001
FC Barcelona,BAR,10,37.40,7.48,374,2001
AEK Athens,AEK,10,37.00,7.31,370,2001
Skipper Bologna,FOR,10,36.90,7.29,369,2001
Olympiacos,OLY,10,36.80,7.18,368,2001
Scavolini Pesaro,PES,10,34.30,6.86,343,2001
Panathinaikos,PAN,11,30.64,6.07,337,2001
Tau Ceramica,BAS,10,33.40,6.68,334,2001
CSKA Moscow,CSK,10,32.70,6.54,327,2001
Real Madrid,MAD,10,32.40,6.48,324,2001
Ural Great,PEM,10,31.40,6.28,314,2001
Maccabi Elite,TEL,10,30.70,6.82,307,2001
Ulker,ULK,10,29.10,5.82,291,2001
Efes Pilsen,IST,10,28.20,5.64,282,2001
Telindus Oostende,OOS,7,37.43,7.35,262,2001
Union Olimpija,LJU,10,26.00,5.20,260,2001
Opel Skyliners,FRA,7,37.00,7.40,259,2001
Cibona VIP,CIB,7,36.57,7.19,256,2001
Unicaja,MAL,7,36.00,7.20,252,2001
Pau-Orthez,PAU,7,33.57,6.71,235,2001
Asvel Basket,ASV,7,33.00,6.48,231,2001
Zalgiris,ZAL,7,31.57,6.31,221,2001
Spirou Basket,CHA,7,31.29,6.26,219,2001
Kinder London Towers,LON,7,31.14,6.23,218,2001
KRKA Novo Mesto,MES,7,30.86,6.17,216,2001
Idea Slask,WRO,7,30.43,5.98,213,2001
Alba Berlin,BER,7,30.29,6.06,212,2001
Partizan,PAR,7,29.71,5.84,208,2001
Peristeri,PER,7,28.57,5.71,200,2001
KK Zadar,ZAD,7,28.43,5.63,199,2001
KK Buducnost,BUD,7,24.14,5.12,169,2001
FC Barcelona,BAR,12,35.92,7.18,431,2002
Montepaschi Siena,SIE,12,35.50,7.10,426,2002
Skipper Bologna,FOR,10,39.60,7.82,396,2002
Virtus Bologna,VIR,10,36.00,7.20,360,2002
Maccabi Elite,TEL,10,35.50,7.01,355,2002
Tau Ceramica,BAS,10,34.60,6.92,346,2002
Benetton Basket,TRE,10,34.50,6.90,345,2002
Olympiacos,OLY,10,33.70,6.74,337,2002
CSKA Moscow,CSK,10,33.30,6.66,333,2002
Cibona VIP,CIB,10,33.20,6.48,332,2002
Unicaja,MAL,10,32.60,6.52,326,2002
Asvel Basket,ASV,10,30.30,5.99,303,2002
Ulker,ULK,10,28.90,5.71,289,2002
Panathinaikos,PAN,10,28.30,5.66,283,2002
Efes Pilsen,IST,10,27.60,5.39,276,2002
Union Olimpija,LJU,10,27.60,5.52,276,2002
Alba Berlin,BER,7,38.86,7.77,272,2002
Real Madrid,MAD,7,35.71,7.14,250,2002
Zalgiris,ZAL,7,33.14,6.63,232,2002
AEK Athens,AEK,7,31.14,6.12,218,2002
Pau-Orthez,PAU,7,29.57,5.91,207,2002
Partizan,PAR,7,28.00,5.60,196,2002
KK Buducnost,BUD,7,27.14,5.33,190,2002
Idea Slask,WRO,7,24.57,4.91,172,2002
Montepaschi Siena,SIE,12,32.83,6.50,394,2003
Maccabi Elite,TEL,12,32.17,6.94,386,2003
CSKA Moscow,CSK,10,36.70,7.25,367,2003
Cibona VIP,CIB,10,36.50,7.30,365,2003
Zalgiris,ZAL,10,35.30,7.06,353,2003
Pamesa Valencia,PAM,10,34.50,6.81,345,2003
Benetton Basket,TRE,10,33.50,6.62,335,2003
Skipper Bologna,FOR,10,33.10,6.38,331,2003
Tau Ceramica,BAS,10,32.60,6.52,326,2003
Efes Pilsen,IST,10,31.90,6.38,319,2003
FC Barcelona,BAR,10,31.40,6.20,314,2003
