klub,sezona,ime,pozicija,narodnost,rojstvo,visina
AEK,2000,"STEFANOV, VRBICA",Guard,The former Yugoslav Republic of Macedonia,1973,1.87
AEK,2000,"PANTELIADIS, SPYRIDON",Guard,Greece,1977,1.9
AEK,2000,"HANSELL, STEVEN",Guard,England,1975,1.96
AEK,2000,"KIKILIAS, VASSILIS",Forward,Greece,1974,2.0
AEK,2000,"HAMMINK, GERRIT",Center,Netherlands,1969,2.12
AEK,2000,"CHATZIS, NIKOLAOS",Guard,Greece,1976,1.95
AEK,2000,"KUTLUAY, IBRAHIM",Guard,Turkey,1974,1.98
AEK,2000,"DIKOUDIS, DIMOS",Forward,Greece,1977,2.06
AEK,2000,"GUROVIC, MILAN",Forward,Serbia,1976,2.07
AEK,2000,"MUURSEPP, MARTIN",Forward,Estonia,1974,2.08
AEK,2000,"BETTS, ANDY",Center,United Kingdom,1977,2.17
AEK,2000,"KAKIOUZIS, MICHAILIS",Forward,Greece,1976,2.07
AEK,2000,"MOSCHOU, MILTIADIS",Center,Greece,1977,2.07
AEK,2000,"ZISIS, NIKOS",Guard,Greece,1983,1.97
AEK,2000,"MISIAKOS, DIMITRIOS",Forward,Greece,1982,2.02
AEK,2001,"HOLDEN, JR",Guard,Russian Federation,1976,1.85
AEK,2001,"PANTELIADIS, SPYRIDON",Guard,Greece,1977,1.9
AEK,2001,"ZISIS, NIKOS",Guard,Greece,1983,1.97
AEK,2001,"TAPOUTOS, CHRISTOS",Forward,Greece,1982,2.01
AEK,2001,"TSIARAS, GEORGIOS",Forward,Greece,1982,2.07
AEK,2001,"CARR, CHRISTOPHER",Guard,United States of America,1974,2.03
AEK,2001,"KOMAZEC, ARIJAN",Forward,Croatia,1970,2.01
AEK,2001,"CHATZIS, NIKOLAOS",Guard,Greece,1976,1.95
AEK,2001,"KIKILIAS, VASSILIS",Forward,Greece,1974,2.0
AEK,2001,"DIKOUDIS, DIMOS",Forward,Greece,1977,2.06
AEK,2001,"BILBA, JIM",Forward,France,1968,1.98
AEK,2001,"PASCHALIS, KOSTAS",Center,Greece,1975,2.08
AEK,2001,"BETTS, ANDY",Center,United Kingdom,1977,2.17
AEK,2001,"KAKIOUZIS, MICHAILIS",Forward,Greece,1976,2.07
AEK,2001,"ANTIC, PERO",Forward,Serbia,1982,2.11
AEK,2002,"BLAKNEY, RODERICK",Guard,United States of America,1976,1.86
AEK,2002,"ZISIS, NIKOS",Guard,Greece,1983,1.97
AEK,2002,"TAPOUTOS, CHRISTOS",Forward,Greece,1982,2.01
AEK,2002,"RILLIE, JOHN",Guard,Australia,1971,1.95
AEK,2002,"CHATZIS, NIKOLAOS",Guard,Greece,1976,1.95
AEK,2002,"KIKILIAS, VASSILIS",Forward,Greece,1974,2.0
AEK,2002,"DIKOUDIS, DIMOS",Forward,Greece,1977,2.06
AEK,2002,"ANTIC, PERO",Forward,Serbia,1982,2.11
AEK,2002,"PASCHALIS, KOSTAS",Center,Greece,1975,2.08
AEK,2002,"BETTS, ANDY",Center,United Kingdom,1977,2.17
AEK,2002,"KAKIOUZIS, MICHAILIS",Forward,Greece,1976,2.07
AEK,2002,"TSIARAS, GEORGIOS",Forward,Greece,1982,2.07
AEK,2002,"JESTRATIJEVIC, NIKOLA",Center,Serbia,1976,2.11
AEK,2002,"BOUROUSIS, IOANNIS",Center,Greece,1983,2.15
AEK,2003,"LOLLIS, QUADRE-MICHAEL",Forward,United States of America,1973,2.02
AEK,2003,"NIKOLAIDIS, SOTIRIOS",Guard,Greece,1974,1.85
AEK,2003,"ZISIS, NIKOS",Guard,Greece,1983,1.97
AEK,2003,"TAPOUTOS, CHRISTOS",Forward,Greece,1982,2.01
AEK,2003,"MISIAKOS, DIMITRIOS",Forward,Greece,1982,2.02
AEK,2003,"CHATZIS, NIKOLAOS",Guard,Greece,1976,1.95
AEK,2003,"HILL, KYLE",Guard,United States of America,1979,1.88
AEK,2003,"JENKINS, HORACE",Guard,United States of America,1974,1.86
AEK,2003,"GLYNIADAKIS, ANDREAS",Center,Greece,1981,2.15
AEK,2003,"ANTIC, PERO",Forward,Serbia,1982,2.11
AEK,2003,"SEKULIC, BLAGOTA",Guard,Montenegro,1982,2.1
AEK,2003,"BOUROUSIS, IOANNIS",Center,Greece,1983,2.15
AEK,2003,"PAPAIOAKIM, PANTELIS",Forward,Greece,1975,2.06
AEK,2003,"MAGKOUNIS, SPYRIDON",Forward,Greece,1985,2.0
AEK,2003,"TSIARAS, GEORGIOS",Forward,Greece,1982,2.07
AEK,2004,"LOLLIS, QUADRE-MICHAEL",Forward,United States of America,1973,2.02
AEK,2004,"NIKOLAIDIS, SOTIRIOS",Guard,Greece,1974,1.85
AEK,2004,"ZISIS, NIKOS",Guard,Greece,1983,1.97
AEK,2004,"PELEKANOS, MICHALIS",Forward,Greece,1981,1.98
AEK,2004,"KUS, DAVOR",Guard,Croatia,1978,1.9
AEK,2004,"CHATZIS, NIKOLAOS",Guard,Greece,1976,1.95
AEK,2004,"NICEVIC, SANDRO",Center,Croatia,1976,2.1
AEK,2004,"GLYNIADAKIS, ANDREAS",Center,Greece,1981,2.15
AEK,2004,"ANTIC, PERO",Forward,Serbia,1982,2.11
AEK,2004,"KAKIOUZIS, IOANNIS",Forward,Greece,1978,2.06
AEK,2004,"BOUROUSIS, IOANNIS",Center,Greece,1983,2.15
AEK,2004,"BAILEY, TOBY",Guard,United States of America,1975,1.93
AEK,2004,"TSIARAS, GEORGIOS",Forward,Greece,1982,2.07
AEK,2004,"MAGKOUNIS, SPYRIDON",Guard,Greece,1985,2.0
AEK,2004,"PAPANIKOLAU, NIKOLAOS",Forward,Greece,1985,2.06
AEK,2005,"TAMIR, AMIT",Center,Israel,1979,2.1
AEK,2005,"HAGAG, DROR",Guard,Israel,1978,1.78
AEK,2005,"RIMAC, SLAVEN",Guard,Croatia,1974,
AEK,2005,"PELEKANOS, MICHALIS",Forward,Greece,1981,1.98
AEK,2005,"MAGKOUNIS, SPYRIDON",Guard,Greece,1985,2.0
AEK,2005,"KALAMPOKIS, GIANNIS",Guard,Greece,1978,1.96
AEK,2005,"PAPANIKOLAU, NIKOLAOS",Forward,Greece,1985,2.06
AEK,2005,"TSIARAS, GEORGIOS",Forward,Greece,1982,2.07
AEK,2005,"COPPENRATH, TAYLOR",Center,United States of America,1981,2.06
AEK,2005,"BOUROUSIS, IOANNIS",Center,Greece,1983,2.15
AEK,2005,"PAPAIOAKIM, PANTELIS",Forward,Greece,1975,2.06
AEK,2005,"MATOS, ANESTIS",Forward,Greece,1987,2.0
AEK,2005,"ATHANASOULAS, IOANNIS",Forward,Greece,1987,2.02
AEK,2005,"CHALMERS, LIONEL",Guard,United States of America,1980,1.78
AEK,2005,"PANTELIADIS, SPYRIDON",Guard,Greece,1977,1.9
ARI,2006,"CASTLE, TERREL",Guard,Bosnia and Herzegovina,1972,1.82
ARI,2006,"SIGALAS, GIORGOS",Forward,Greece,1971,2.01
ARI,2006,"SERAPINAS, SIMONAS",Forward,Lithuania,1982,1.97
ARI,2006,"SCALES, ALEX",Guard,United States of America,1978,1.93
ARI,2006,"KALAITZIS, GEORGIOS",Guard,Greece,1976,1.95
ARI,2006,"ILIADIS, SAVVAS",Guard,Greece,1979,1.92
ARI,2006,"WILKINSON, MIKE",Forward,United States of America,1981,2.04
ARI,2006,"FLETCHER, KEVIN",Center,United States of America,1980,2.06
ARI,2006,"KARAVANAS, PANAGIOTIS",Forward,Greece,1984,2.13
ARI,2006,"MASSEY, JEREMIAH",Forward,United States of America,1982,2.02
ARI,2006,"GIANNOULIS, YANNIS",Center,Greece,1976,2.04
ARI,2006,"TSALDARIS, DIMITRIOS",Forward,Greece,1980,1.94
ARI,2006,"PANTELIADIS, SPYRIDON",Guard,Greece,1977,1.9
ARI,2006,"ABDUL-RAUF, MAHMOUD",Guard,United States of America,1969,1.82
ARI,2007,"TERRY, REYSHAWN",Forward,United States of America,1984,2.03
ARI,2007,"WRIGHT, BRACEY",Guard,United States of America,1984,1.91
ARI,2007,"KALAITZIS, GEORGIOS",Guard,Greece,1976,1.95
ARI,2007,"ILIADIS, SAVVAS",Guard,Greece,1979,1.92
ARI,2007,"BOISA, VLADIMER",Forward,Georgia,1981,2.05
ARI,2007,"SKORDILIS, GAIOS",Center,Greece,1987,2.07
ARI,2007,"MOTTOLA, HANNO",Forward,Finland,1976,2.08
ARI,2007,"MASSEY, JEREMIAH",Forward,United States of America,1982,2.02
ARI,2007,"AGADAKOS, LAZAROS",Center,Greece,1980,2.07
ARI,2007,"TSALDARIS, DIMITRIOS",Forward,Greece,1980,1.94
ARI,2007,"PANTELIADIS, SPYRIDON",Guard,Greece,1977,1.9
ARI,2007,"KARADOLAMIS, DIMITRIOS",Forward,Greece,1987,2.04
ARI,2007,"TSAIRELIS, MICHALIS",Forward,Greece,1988,2.06
ARI,2007,"WASHINGTON, DARIUS",Guard,United States of America,1985,1.88
ASV,2001,"RADULOVIC, NIKOLA",Forward,Italy,1973,2.07
ASV,2001,"SY, AMARA",Forward,France,1981,2.03
ASV,2001,"ADE-MENSAH, ARSENE",Guard,France,1971,1.82
ASV,2001,"VUJCIC, NIKOLA",Center,Croatia,1978,2.11
ASV,2001,"BONATO, YANN",Forward,France,1972,2.02
ASV,2001,"MRAZEK, HAROLD",Guard,Switzerland,1973,1.91
ASV,2001,"PETROV, SIMON",Guard,Slovenia,1976,1.9
ASV,2001,"HILL, KYLE",Guard,United States of America,1979,1.88
ASV,2001,"NEES, TIM",Center,Germany,1971,2.09
ASV,2001,"FRIGOUT, DAVID",Forward,France,1973,2.06
ASV,2001,"HOFFMAN, PETER",Forward,United States of America,1969,1.98
ASV,2001,"CELESTAND, JOHN",Guard,United States of America,1977,1.93
ASV,2001,"Mc GHEE, THALAMUS",Center,United States of America,1975,2.06
ASV,2002,"TOURE, HERVE",Forward,France,1982,2.04
ASV,2002,"OWENS, ANDRE",Forward,France,1971,1.95
ASV,2002,"SMITH, STEVIN",Guard,United States of America,1972,1.86
ASV,2002,"GADOU, THIERRY",Forward,France,1969,2.06
ASV,2002,"TRAORE, ALI",Center,France,1985,2.08
ASV,2002,"BONATO, YANN",Forward,France,1972,2.02
ASV,2002,"BULIC, MARKO",Guard,Croatia,1974,1.94
ASV,2002,"MRAZEK, HAROLD",Guard,Switzerland,1973,1.91
ASV,2002,"PETROV, SIMON",Guard,Slovenia,1976,1.9
ASV,2002,"MARCELIC, DAVOR",Guard,Croatia,1969,2.0
ASV,2002,"GIFFA, SANYA",Forward,France,1977,
ASV,2002,"FRIGOUT, DAVID",Forward,France,1973,2.06
ASV,2002,"GULYAS, ROBERT",Center,Hungary,1974,2.13
ASV,2002,"EVTIMOV, VASSIL",Center,France,1977,2.05
ASV,2003,"OWENS, ANDRE",Forward,France,1971,1.95
