vrsta_podatka,sezona,kje,klub,kratica,st_tekem,podatek,povprecje,na_40_min
podaje,2000,doma,Tau Ceramica,BAS,10,140,10.0,2.8
podaje,2000,doma,Benetton Basket,TRE,7,104,7.0,2.97
podaje,2000,doma,Kinder Bologna,VIR,12,104,12.0,1.72
podaje,2000,doma,AEK Athens,AEK,10,102,10.0,2.01
podaje,2000,doma,Olympiakos,OLY,7,99,7.0,2.83
podaje,2000,doma,KK Zadar,ZAD,5,99,5.0,3.86
podaje,2000,doma,PAOK BC,PAO,7,89,7.0,2.5
podaje,2000,doma,Real Madrid,MAD,7,86,7.0,2.46
podaje,2000,doma,Muller Verona,VER,6,85,6.0,2.83
podaje,2000,doma,Adecco Estudiantes,EST,6,84,6.0,2.74
podaje,2000,doma,PAF Bologna,FOR,9,84,9.0,1.87
podaje,2000,doma,Union Olimpija Ljubljana,LJU,7,83,7.0,2.39
podaje,2000,doma,Saint Petersburg Lions,PET,5,82,5.0,3.2
podaje,2000,doma,Zalgiris Kaunas,ZAL,6,81,6.0,2.7
podaje,2000,doma,Hapoel Jerusalem,JER,5,79,5.0,3.16
podaje,2000,doma,Peristeri,PER,6,69,6.0,2.3
podaje,2000,doma,Opel Skyliners,FRA,5,66,5.0,2.64
podaje,2000,doma,FC Barcelona,BAR,6,62,6.0,2.07
podaje,2000,doma,Haribo London Towers,LON,5,59,5.0,2.36
podaje,2000,doma,Cibona VIP,CIB,6,53,6.0,1.73
podaje,2000,doma,Ovarense Aerosoles,OVA,5,51,5.0,2.04
podaje,2000,doma,KK Buducnost,BUD,6,39,6.0,1.3
podaje,2000,doma,Region Wallone Spirou Charleroi,CHA,5,33,5.0,1.32
podaje,2000,doma,Lugano Snakes,LUG,5,19,5.0,0.76
podaje,2001,doma,Benetton Basket,TRE,11,169,11.0,3.04
podaje,2001,doma,Ural Great,PEM,10,168,10.0,3.36
podaje,2001,doma,Tau Ceramica,BAS,10,165,10.0,3.3
podaje,2001,doma,Ulker,ULK,10,164,10.0,3.28
