Klub,Kratica,St_tekem,Povprecje,Na_40_min,Assistances,Sezona
Tau Ceramica,BAS,12,9.42,1.88,113,2000
Benetton Basket,TRE,8,12.63,2.49,101,2000
Kinder Bologna,VIR,10,10.10,2.02,101,2000
FC Barcelona,BAR,6,15.50,3.10,93,2000
KK Buducnost,BUD,6,14.67,2.93,88,2000
Real Madrid,MAD,8,11.00,2.20,88,2000
Union Olimpija Ljubljana,LJU,8,10.63,2.09,85,2000
PAF Bologna,FOR,9,7.89,1.54,71,2000
PAOK BC,PAO,6,11.00,2.20,66,2000
Peristeri,PER,6,10.50,2.10,63,2000
Muller Verona,VER,6,10.50,2.06,63,2000
Ovarense Aerosoles,OVA,5,12.20,2.44,61,2000
Zalgiris Kaunas,ZAL,6,9.50,1.86,57,2000
Opel Skyliners,FRA,5,11.20,2.24,56,2000
Adecco Estudiantes,EST,6,8.83,1.77,53,2000
Olympiakos,OLY,7,7.57,1.51,53,2000
AEK Athens,AEK,8,6.50,1.30,52,2000
Lugano Snakes,LUG,5,10.40,2.08,52,2000
Saint Petersburg Lions,PET,5,8.20,1.64,41,2000
KK Zadar,ZAD,5,8.20,1.64,41,2000
Cibona VIP,CIB,6,6.67,1.31,40,2000
Region Wallone Spirou Charleroi,CHA,5,6.20,1.24,31,2000
Haribo London Towers,LON,5,6.00,1.20,30,2000
Hapoel Jerusalem,JER,5,5.00,1.00,25,2000
FC Barcelona,BAR,10,14.40,2.88,144,2001
Maccabi Elite,TEL,11,13.09,2.59,144,2001
Union Olimpija,LJU,10,14.30,2.82,143,2001
Kinder Bologna,VIR,11,13.00,2.60,143,2001
Ural Great,PEM,10,13.70,2.71,137,2001
Tau Ceramica,BAS,10,13.30,2.60,133,2001
Real Madrid,MAD,10,13.00,2.60,130,2001
CSKA Moscow,CSK,10,12.80,2.63,128,2001
Skipper Bologna,FOR,10,12.20,2.44,122,2001
Scavolini Pesaro,PES,10,12.10,2.42,121,2001
Olympiacos,OLY,10,12.00,2.40,120,2001
Panathinaikos,PAN,11,9.73,1.96,107,2001
Benetton Basket,TRE,10,10.70,2.14,107,2001
Ulker,ULK,10,9.70,2.16,97,2001
Efes Pilsen,IST,10,9.00,1.80,90,2001
Zalgiris,ZAL,7,12.71,2.54,89,2001
KK Buducnost,BUD,7,12.43,2.49,87,2001
AEK Athens,AEK,10,8.50,1.66,85,2001
Asvel Basket,ASV,7,12.00,2.40,84,2001
Partizan,PAR,7,11.86,2.33,83,2001
KRKA Novo Mesto,MES,7,11.29,2.22,79,2001
Telindus Oostende,OOS,7,11.29,2.26,79,2001
Idea Slask,WRO,7,11.14,2.23,78,2001
Spirou Basket,CHA,7,10.71,2.11,75,2001
Cibona VIP,CIB,7,10.71,2.14,75,2001
Alba Berlin,BER,7,10.57,2.11,74,2001
Unicaja,MAL,7,10.57,2.08,74,2001
Peristeri,PER,7,10.14,2.04,71,2001
KK Zadar,ZAD,7,10.14,2.03,71,2001
Opel Skyliners,FRA,7,8.71,1.74,61,2001
Pau-Orthez,PAU,7,8.29,1.66,58,2001
Kinder London Towers,LON,7,5.57,1.11,39,2001
Benetton Basket,TRE,12,13.58,2.72,163,2002
CSKA Moscow,CSK,12,12.92,2.58,155,2002
Skipper Bologna,FOR,10,14.40,2.84,144,2002
Ulker,ULK,10,12.90,2.55,129,2002
Montepaschi Siena,SIE,10,12.60,2.52,126,2002
FC Barcelona,BAR,10,12.30,2.40,123,2002
Asvel Basket,ASV,10,11.50,2.30,115,2002
Union Olimpija,LJU,10,11.20,2.24,112,2002
Efes Pilsen,IST,10,10.90,2.15,109,2002
Panathinaikos,PAN,10,10.40,2.08,104,2002
Virtus Bologna,VIR,10,10.10,2.02,101,2002
Cibona VIP,CIB,10,9.90,1.98,99,2002
Maccabi Elite,TEL,10,9.70,1.94,97,2002
Real Madrid,MAD,7,13.57,2.67,95,2002
Tau Ceramica,BAS,10,9.20,1.84,92,2002
Olympiacos,OLY,10,8.80,1.76,88,2002
Idea Slask,WRO,7,11.71,2.34,82,2002
Unicaja,MAL,10,8.10,1.60,81,2002
KK Buducnost,BUD,7,10.71,2.14,75,2002
Zalgiris,ZAL,7,10.00,1.96,70,2002
Pau-Orthez,PAU,7,9.57,1.91,67,2002
AEK Athens,AEK,7,8.57,1.71,60,2002
Alba Berlin,BER,7,8.14,1.60,57,2002
Partizan,PAR,7,8.14,1.60,57,2002
Zalgiris,ZAL,10,15.90,3.14,159,2003
Benetton Basket,TRE,10,15.70,3.14,157,2003
Tau Ceramica,BAS,10,14.20,2.84,142,2003
CSKA Moscow,CSK,12,11.83,2.37,142,2003
Montepaschi Siena,SIE,10,14.10,2.82,141,2003
Skipper Bologna,FOR,12,11.58,2.29,139,2003
Maccabi Elite,TEL,10,13.60,2.69,136,2003
Efes Pilsen,IST,10,12.90,2.55,129,2003
Cibona VIP,CIB,10,11.80,2.33,118,2003
Olympiacos,OLY,10,11.20,2.24,112,2003
Pamesa Valencia,PAM,10,11.10,2.47,111,2003
Ulker,ULK,10,10.40,2.08,104,2003
FC Barcelona,BAR,10,10.10,2.02,101,2003
Panathinaikos,PAN,10,9.50,1.83,95,2003
Union Olimpija,LJU,10,9.00,1.78,90,2003
Pau-Orthez,PAU,10,8.60,1.72,86,2003
Lottomatica Roma,ROM,7,11.29,2.22,79,2003
Asvel Basket,ASV,7,10.86,2.17,76,2003
AEK Athens,AEK,7,10.71,2.14,75,2003
Alba Berlin,BER,7,10.71,2.11,75,2003
Unicaja,MAL,7,10.43,2.05,73,2003
KRKA Novo Mesto,MES,7,10.29,2.06,72,2003
Partizan,PAR,7,10.14,1.99,71,2003
Idea Slask,WRO,7,8.86,1.77,62,2003
Tau Ceramica,BAS,13,14.85,2.94,193,2004
Maccabi Elite,TEL,11,15.27,3.05,168,2004
CSKA Moscow,CSK,11,14.73,2.91,162,2004
Panathinaikos,PAN,13,11.62,2.28,151,2004
Montepaschi Siena,SIE,10,13.50,2.70,135,2004
Ulker,ULK,11,12.27,2.45,135,2004
Real Madrid,MAD,10,13.00,2.54,130,2004
Climamio Bologna,FOR,10,12.70,2.51,127,2004
AEK Athens,AEK,10,12.60,2.52,126,2004
Efes Pilsen,IST,12,10.50,2.08,126,2004
Cibona VIP,CIB,10,12.40,2.42,124,2004
Scavolini Pesaro,PES,11,10.91,2.13,120,2004
Benetton Basket,TRE,11,10.27,2.05,113,2004
Zalgiris,ZAL,10,11.30,2.23,113,2004
Prokom Trefl Sopot,SOP,10,10.20,2.04,102,2004
Partizan,PAR,7,12.14,2.43,85,2004
Unicaja,MAL,7,12.00,2.40,84,2004
FC Barcelona,BAR,10,8.30,1.66,83,2004
Adecco Estudiantes,EST,7,11.71,2.34,82,2004
Opel Skyliners,FRA,7,11.71,2.34,82,2004
Pau-Orthez,PAU,7,11.71,2.34,82,2004
Asvel Basket,ASV,7,10.14,2.03,71,2004
Union Olimpija,LJU,7,8.86,1.77,62,2004
Olympiacos,OLY,7,8.86,1.77,62,2004
Tau Ceramica,BAS,14,14.21,2.82,199,2005
Winterthur FC Barcelona,BAR,11,14.64,2.93,161,2005
CSKA Moscow,CSK,12,13.00,2.55,156,2005
Maccabi Elite,TEL,12,12.75,2.55,153,2005
Olympiacos,OLY,12,11.83,2.37,142,2005
Unicaja,MAL,10,14.00,2.80,140,2005
Panathinaikos,PAN,11,12.36,2.47,136,2005
Climamio Bologna,FOR,10,13.40,2.65,134,2005
Lietuvos Rytas,LIE,10,12.70,2.51,127,2005
Benetton Basket,TRE,10,12.40,2.45,124,2005
Real Madrid,MAD,12,10.17,2.03,122,2005
Zalgiris,ZAL,10,10.80,2.16,108,2005
Efes Pilsen,IST,11,9.64,1.91,106,2005
GHP Bamberg,BAM,10,9.70,1.94,97,2005
Ulker,ULK,10,9.70,1.94,97,2005
AJ Milano,MIL,7,12.57,2.43,88,2005
Cibona VIP,CIB,10,8.40,1.68,84,2005
Prokom Trefl Sopot,SOP,7,11.71,2.34,82,2005
Montepaschi Siena,SIE,7,11.57,2.31,81,2005
Union Olimpija,LJU,7,11.29,2.26,79,2005
Strasbourg,STR,7,11.29,2.26,79,2005
Pau-Orthez,PAU,7,9.86,1.97,69,2005
Partizan,PAR,7,9.43,1.85,66,2005
AEK Athens,AEK,7,8.00,1.60,56,2005
Tau Ceramica,BAS,12,15.67,3.13,188,2006
Winterthur FC Barcelona,BAR,12,15.17,3.00,182,2006
CSKA Moscow,CSK,12,13.17,2.61,158,2006
Unicaja,MAL,13,11.23,2.18,146,2006
Maccabi Elite,TEL,12,11.42,2.24,137,2006
Prokom Trefl Sopot,SOP,10,12.50,2.47,125,2006
Benetton Basket,TRE,10,12.40,2.45,124,2006
Panathinaikos,PAN,11,10.82,2.16,119,2006
Efes Pilsen,IST,10,11.20,2.24,112,2006
Olympiacos,OLY,11,10.18,2.04,112,2006
DKV Joventut,JOV,10,11.10,2.22,111,2006
Pau-Orthez,PAU,10,10.20,1.97,102,2006
Lottomatica Roma,ROM,10,10.20,2.01,102,2006
Climamio Bologna,FOR,7,14.29,2.86,100,2006
Partizan,PAR,10,9.70,1.94,97,2006
Aris TT Bank,ARI,10,9.10,1.82,91,2006
Dynamo Moscow,DYN,10,9.10,1.65,91,2006
RheinEnergie,COL,7,12.71,2.54,89,2006
Zalgiris,ZAL,7,11.71,2.34,82,2006
Le Mans,LEM,7,11.57,2.31,81,2006
Eldo Napoli,NAP,7,11.57,2.27,81,2006
Union Olimpija,LJU,7,11.43,2.29,80,2006
Fenerbahce Ulker,ULK,7,8.86,1.74,62,2006
Cibona,CIB,7,8.00,1.52,56,2006
Maccabi Elite,TEL,12,15.25,2.99,183,2007
CSKA Moscow,CSK,13,13.15,2.63,171,2007
Tau Ceramica,BAS,12,14.17,2.80,170,2007
AXA FC Barcelona,BAR,12,13.58,2.71,163,2007
Olympiacos,OLY,12,11.75,2.35,141,2007
Panathinaikos,PAN,10,13.90,2.75,139,2007
Fenerbahce Ulker,ULK,11,12.45,2.49,137,2007
Partizan Igokea,PAR,12,11.17,2.21,134,2007
Lietuvos Rytas,LIE,10,12.90,2.55,129,2007
Montepaschi Siena,SIE,11,11.64,2.30,128,2007
Lottomatica Roma,ROM,10,12.60,2.52,126,2007
Efes Pilsen,IST,10,12.20,2.41,122,2007
Real Madrid,MAD,10,12.10,2.42,121,2007
Zalgiris,ZAL,10,12.00,2.37,120,2007
Unicaja,MAL,10,11.10,2.22,111,2007
Aris TT Bank,ARI,10,9.40,1.88,94,2007
Le Mans,LEM,7,13.43,2.69,94,2007
Union Olimpija,LJU,7,13.14,2.63,92,2007
Brose Baskets,BAM,7,12.14,2.43,85,2007
AJ Milano,MIL,7,11.29,2.26,79,2007
Chorale Roanne,ROA,7,10.71,2.14,75,2007
Cibona,CIB,7,9.71,1.94,68,2007
Prokom Trefl Sopot,SOP,7,9.43,1.89,66,2007
Virtus VidiVici,VIR,7,8.00,1.60,56,2007
Regal FC Barcelona,BAR,11,15.91,3.18,175,2008
Tau Ceramica,BAS,11,13.55,2.68,149,2008
Olympiacos,OLY,10,14.80,2.92,148,2008
Panathinaikos,PAN,11,12.82,2.56,141,2008
Montepaschi Siena,SIE,10,12.50,2.50,125,2008
CSKA Moscow,CSK,11,11.00,2.20,121,2008
Real Madrid,MAD,10,10.90,2.18,109,2008
Unicaja,MAL,8,13.13,2.58,105,2008
Partizan,PAR,10,9.80,1.94,98,2008
Alba Berlin,BER,8,11.25,2.25,90,2008
Maccabi Electra,TEL,8,11.25,2.25,90,2008
Lottomatica Roma,ROM,8,11.13,2.19,89,2008
AJ Milano,MIL,8,10.75,2.15,86,2008
Asseco Prokom,SOP,8,10.50,2.10,84,2008
Fenerbahce Ulker,ULK,8,10.00,2.00,80,2008
Cibona,CIB,8,9.63,1.92,77,2008
Efes Pilsen,IST,5,12.80,2.56,64,2008
Zalgiris,ZAL,5,12.40,2.48,62,2008
Air Avellino,AVE,5,11.80,2.30,59,2008
Le Mans,LEM,5,11.20,2.19,56,2008
DKV Joventut,JOV,5,10.80,2.16,54,2008
Union Olimpija,LJU,5,9.60,1.79,48,2008
Panionios On Telecoms,NIO,5,8.80,1.76,44,2008
SLUC Nancy,NAN,5,7.60,1.52,38,2008
Olympiacos,OLY,12,16.25,3.15,195,2009
Regal FC Barcelona,BAR,10,15.80,3.12,158,2009
Partizan,PAR,11,14.18,2.80,156,2009
Caja Laboral,BAS,10,15.50,3.10,155,2009
Real Madrid,MAD,10,14.30,2.82,143,2009
CSKA Moscow,CSK,11,12.45,2.46,137,2009
Maccabi Electra,TEL,10,13.20,2.61,132,2009
Montepaschi Siena,SIE,8,15.50,3.10,124,2009
Unicaja,MAL,8,15.25,3.05,122,2009
Asseco Prokom,SOP,10,11.90,2.38,119,2009
Efes Pilsen,IST,8,14.13,2.78,113,2009
Panathinaikos,PAN,8,14.00,2.76,112,2009
Maroussi BC,MAR,8,13.13,2.63,105,2009
Zalgiris Kaunas,ZAL,8,11.75,2.35,94,2009
Cibona,CIB,8,10.50,2.07,84,2009
BC Khimki,KHI,8,10.50,2.10,84,2009
Lietuvos Rytas,LIE,5,12.20,2.44,61,2009
Armani Jeans Milano,MIL,5,11.00,2.20,55,2009
EWE Baskets,OLD,5,10.80,2.16,54,2009
Fenerbahce Ulker,ULK,5,10.80,2.11,54,2009
Asvel Basket,ASV,5,10.60,2.12,53,2009
Entente Orleanaise,ORL,5,10.00,2.00,50,2009
Lottomatica Roma,ROM,5,9.60,1.92,48,2009
Union Olimpija,LJU,5,8.60,1.72,43,2009
Real Madrid,MAD,11,14.64,2.93,161,2010
Panathinaikos Athens,PAN,11,14.45,2.86,159,2010
Caja Laboral Vitoria,BAS,10,15.10,2.98,151,2010
Regal Barcelona,BAR,10,15.00,2.96,150,2010
Montepaschi Siena,SIE,12,12.50,2.50,150,2010
Maccabi Electra Tel Aviv,TEL,10,14.60,2.92,146,2010
Olympiacos Piraeus,OLY,10,14.00,2.80,140,2010
Power Electronics Valencia,PAM,11,11.73,2.35,129,2010
Union Olimpija Ljubljana,LJU,8,13.75,2.71,110,2010
Lietuvos Rytas Vilnius,LIE,8,13.38,2.67,107,2010
Unicaja Malaga,MAL,8,13.38,2.67,107,2010
Partizan mt:s Belgrade,PAR,8,12.75,2.55,102,2010
Efes Pilsen Istanbul,IST,8,12.13,2.32,97,2010
Zalgiris Kaunas,ZAL,8,11.88,2.34,95,2010
Fenerbahce Ulker Istanbul,ULK,8,11.75,2.31,94,2010
Armani Jeans  Milano,MIL,5,15.20,3.04,76,2010
Lottomatica Roma,ROM,8,8.50,1.70,68,2010
Spirou Charleroi,CHA,5,12.60,2.52,63,2010
