Klub,Kratica,St_tekem,Povprecje,Na_40_min,FoulsCommited,Sezona
Tau Ceramica,BAS,12,24.42,4.88,293,2000
Kinder Bologna,VIR,10,24.30,4.86,243,2000
Union Olimpija Ljubljana,LJU,8,27.00,5.32,216,2000
PAF Bologna,FOR,9,22.67,4.41,204,2000
AEK Athens,AEK,8,24.88,4.97,199,2000
Real Madrid,MAD,8,24.25,4.85,194,2000
Benetton Basket,TRE,8,22.50,4.43,180,2000
Cibona VIP,CIB,6,26.17,5.13,157,2000
Olympiakos,OLY,7,22.43,4.49,157,2000
Muller Verona,VER,6,26.17,5.13,157,2000
Peristeri,PER,6,23.83,4.77,143,2000
FC Barcelona,BAR,6,23.17,4.63,139,2000
KK Buducnost,BUD,6,23.17,4.63,139,2000
Zalgiris Kaunas,ZAL,6,23.00,4.51,138,2000
PAOK BC,PAO,6,22.33,4.47,134,2000
Adecco Estudiantes,EST,6,21.83,4.37,131,2000
Lugano Snakes,LUG,5,25.60,5.12,128,2000
Haribo London Towers,LON,5,25.40,5.08,127,2000
Region Wallone Spirou Charleroi,CHA,5,24.80,4.96,124,2000
Hapoel Jerusalem,JER,5,24.00,4.80,120,2000
Saint Petersburg Lions,PET,5,23.60,4.72,118,2000
Opel Skyliners,FRA,5,23.20,4.64,116,2000
KK Zadar,ZAD,5,23.20,4.64,116,2000
Ovarense Aerosoles,OVA,5,22.60,4.52,113,2000
Maccabi Elite,TEL,11,26.36,5.21,290,2001
Panathinaikos,PAN,11,25.64,5.16,282,2001
Tau Ceramica,BAS,10,26.50,5.17,265,2001
Olympiacos,OLY,10,26.50,5.30,265,2001
Kinder Bologna,VIR,11,24.09,4.82,265,2001
Ural Great,PEM,10,26.20,5.18,262,2001
Skipper Bologna,FOR,10,25.90,5.18,259,2001
AEK Athens,AEK,10,25.80,5.03,258,2001
Union Olimpija,LJU,10,24.10,4.76,241,2001
FC Barcelona,BAR,10,23.60,4.72,236,2001
Efes Pilsen,IST,10,23.40,4.68,234,2001
Benetton Basket,TRE,10,22.60,4.52,226,2001
Real Madrid,MAD,10,22.20,4.44,222,2001
Ulker,ULK,10,21.90,4.87,219,2001
Scavolini Pesaro,PES,10,21.70,4.34,217,2001
KK Buducnost,BUD,7,30.71,6.14,215,2001
KRKA Novo Mesto,MES,7,30.71,6.04,215,2001
CSKA Moscow,CSK,10,20.50,4.22,205,2001
Partizan,PAR,7,29.00,5.70,203,2001
Cibona VIP,CIB,7,26.00,5.20,182,2001
Alba Berlin,BER,7,25.71,5.14,180,2001
Unicaja,MAL,7,25.57,5.02,179,2001
Asvel Basket,ASV,7,24.86,4.97,174,2001
KK Zadar,ZAD,7,24.86,4.97,174,2001
Spirou Basket,CHA,7,24.14,4.74,169,2001
Telindus Oostende,OOS,7,23.71,4.74,166,2001
Idea Slask,WRO,7,23.43,4.69,164,2001
Peristeri,PER,7,23.29,4.69,163,2001
Opel Skyliners,FRA,7,22.43,4.49,157,2001
Pau-Orthez,PAU,7,22.00,4.40,154,2001
Kinder London Towers,LON,7,20.86,4.17,146,2001
Zalgiris,ZAL,7,19.14,3.83,134,2001
CSKA Moscow,CSK,12,25.17,5.03,302,2002
Benetton Basket,TRE,12,24.25,4.85,291,2002
Olympiacos,OLY,10,26.90,5.38,269,2002
Panathinaikos,PAN,10,25.80,5.16,258,2002
Cibona VIP,CIB,10,25.20,5.04,252,2002
Union Olimpija,LJU,10,24.80,4.96,248,2002
Skipper Bologna,FOR,10,23.20,4.58,232,2002
Asvel Basket,ASV,10,23.10,4.62,231,2002
Maccabi Elite,TEL,10,22.00,4.40,220,2002
Ulker,ULK,10,21.60,4.27,216,2002
Unicaja,MAL,10,21.10,4.17,211,2002
Virtus Bologna,VIR,10,21.00,4.20,210,2002
FC Barcelona,BAR,10,20.80,4.06,208,2002
Efes Pilsen,IST,10,20.30,4.01,203,2002
Montepaschi Siena,SIE,10,20.10,4.02,201,2002
Alba Berlin,BER,7,27.71,5.45,194,2002
Partizan,PAR,7,27.57,5.42,193,2002
Tau Ceramica,BAS,10,19.10,3.82,191,2002
Idea Slask,WRO,7,25.57,5.11,179,2002
Real Madrid,MAD,7,22.57,4.44,158,2002
AEK Athens,AEK,7,22.43,4.49,157,2002
KK Buducnost,BUD,7,22.00,4.40,154,2002
Pau-Orthez,PAU,7,21.00,4.20,147,2002
Zalgiris,ZAL,7,20.86,4.10,146,2002
Skipper Bologna,FOR,12,23.83,4.72,286,2003
CSKA Moscow,CSK,12,21.75,4.35,261,2003
Union Olimpija,LJU,10,25.40,5.02,254,2003
Panathinaikos,PAN,10,25.30,4.88,253,2003
Maccabi Elite,TEL,10,24.80,4.90,248,2003
Tau Ceramica,BAS,10,24.20,4.84,242,2003
Montepaschi Siena,SIE,10,23.80,4.76,238,2003
Olympiacos,OLY,10,23.10,4.62,231,2003
Cibona VIP,CIB,10,22.80,4.50,228,2003
Zalgiris,ZAL,10,22.10,4.37,221,2003
Ulker,ULK,10,21.90,4.38,219,2003
Benetton Basket,TRE,10,20.90,4.18,209,2003
FC Barcelona,BAR,10,20.50,4.10,205,2003
Pamesa Valencia,PAM,10,20.50,4.56,205,2003
Pau-Orthez,PAU,10,20.40,4.08,204,2003
Efes Pilsen,IST,10,20.00,3.95,200,2003
AEK Athens,AEK,7,27.29,5.46,191,2003
Partizan,PAR,7,26.29,5.16,184,2003
Idea Slask,WRO,7,24.43,4.89,171,2003
Lottomatica Roma,ROM,7,24.14,4.74,169,2003
KRKA Novo Mesto,MES,7,23.71,4.74,166,2003
Alba Berlin,BER,7,23.29,4.58,163,2003
Asvel Basket,ASV,7,21.71,4.34,152,2003
Unicaja,MAL,7,20.43,4.01,143,2003
Panathinaikos,PAN,13,26.15,5.13,340,2004
Tau Ceramica,BAS,13,22.69,4.50,295,2004
Maccabi Elite,TEL,11,25.64,5.13,282,2004
Efes Pilsen,IST,12,23.08,4.57,277,2004
Scavolini Pesaro,PES,11,23.73,4.64,261,2004
Climamio Bologna,FOR,10,25.10,4.96,251,2004
AEK Athens,AEK,10,25.00,5.00,250,2004
Ulker,ULK,11,22.27,4.45,245,2004
Prokom Trefl Sopot,SOP,10,23.50,4.70,235,2004
Real Madrid,MAD,10,23.40,4.57,234,2004
Zalgiris,ZAL,10,23.40,4.62,234,2004
Cibona VIP,CIB,10,23.10,4.51,231,2004
CSKA Moscow,CSK,11,21.00,4.15,231,2004
Montepaschi Siena,SIE,10,22.60,4.52,226,2004
Benetton Basket,TRE,11,18.27,3.65,201,2004
Partizan,PAR,7,28.29,5.66,198,2004
FC Barcelona,BAR,10,19.00,3.80,190,2004
Pau-Orthez,PAU,7,24.29,4.86,170,2004
Olympiacos,OLY,7,23.57,4.71,165,2004
Asvel Basket,ASV,7,23.43,4.69,164,2004
Union Olimpija,LJU,7,23.43,4.69,164,2004
Unicaja,MAL,7,21.57,4.31,151,2004
Adecco Estudiantes,EST,7,21.00,4.20,147,2004
Opel Skyliners,FRA,7,19.14,3.83,134,2004
Olympiacos,OLY,12,23.92,4.78,287,2005
Tau Ceramica,BAS,14,20.36,4.04,285,2005
Maccabi Elite,TEL,12,23.75,4.75,285,2005
Real Madrid,MAD,12,21.08,4.22,253,2005
Lietuvos Rytas,LIE,10,24.90,4.92,249,2005
Climamio Bologna,FOR,10,24.30,4.80,243,2005
Panathinaikos,PAN,11,22.09,4.42,243,2005
CSKA Moscow,CSK,12,19.92,3.90,239,2005
Efes Pilsen,IST,11,20.55,4.06,226,2005
GHP Bamberg,BAM,10,22.40,4.48,224,2005
Cibona VIP,CIB,10,22.30,4.46,223,2005
Winterthur FC Barcelona,BAR,11,19.55,3.91,215,2005
Zalgiris,ZAL,10,20.00,4.00,200,2005
Benetton Basket,TRE,10,19.40,3.83,194,2005
Partizan,PAR,7,27.29,5.36,191,2005
Unicaja,MAL,10,19.00,3.80,190,2005
Ulker,ULK,10,18.30,3.66,183,2005
Montepaschi Siena,SIE,7,23.29,4.66,163,2005
Prokom Trefl Sopot,SOP,7,23.29,4.66,163,2005
