Klub,Kratica,St_tekem,Povprecje,Na_40_min,Prejete-tocke,Sezona
Tau Ceramica,BAS,12,73.00,14.60,876,2000
PAF Bologna,FOR,9,83.11,16.17,748,2000
Kinder Bologna,VIR,10,72.70,14.54,727,2000
Real Madrid,MAD,8,79.63,15.92,637,2000
AEK Athens,AEK,8,79.13,15.83,633,2000
Benetton Basket,TRE,8,79.00,15.56,632,2000
Union Olimpija Ljubljana,LJU,8,75.38,14.84,603,2000
Olympiakos,OLY,7,79.57,15.91,557,2000
Cibona VIP,CIB,6,91.50,17.93,549,2000
Muller Verona,VER,6,88.83,17.40,533,2000
Ovarense Aerosoles,OVA,5,106.20,21.24,531,2000
KK Buducnost,BUD,6,87.50,17.50,525,2000
Adecco Estudiantes,EST,6,86.50,17.30,519,2000
Zalgiris Kaunas,ZAL,6,83.67,16.39,502,2000
FC Barcelona,BAR,6,82.33,16.47,494,2000
Lugano Snakes,LUG,5,97.20,19.44,486,2000
Peristeri,PER,6,80.50,16.10,483,2000
PAOK BC,PAO,6,77.00,15.54,462,2000
Hapoel Jerusalem,JER,5,92.20,18.44,461,2000
Region Wallone Spirou Charleroi,CHA,5,89.40,17.88,447,2000
Opel Skyliners,FRA,5,88.20,17.64,441,2000
KK Zadar,ZAD,5,87.60,17.52,438,2000
Haribo London Towers,LON,5,86.80,17.36,434,2000
Saint Petersburg Lions,PET,5,84.00,16.80,420,2000
Ural Great,PEM,10,91.40,18.05,914,2001
Panathinaikos,PAN,11,77.00,15.48,847,2001
CSKA Moscow,CSK,10,84.30,17.34,843,2001
Maccabi Elite,TEL,11,76.45,15.14,841,2001
Benetton Basket,TRE,10,82.70,16.54,827,2001
AEK Athens,AEK,10,82.20,16.04,822,2001
Skipper Bologna,FOR,10,81.30,16.26,813,2001
FC Barcelona,BAR,10,80.60,16.12,806,2001
Scavolini Pesaro,PES,10,80.00,16.00,800,2001
Efes Pilsen,IST,10,79.70,15.94,797,2001
Kinder Bologna,VIR,11,72.00,14.40,792,2001
Real Madrid,MAD,10,78.70,15.74,787,2001
Tau Ceramica,BAS,10,77.80,15.18,778,2001
Union Olimpija,LJU,10,76.00,15.01,760,2001
Olympiacos,OLY,10,75.10,15.02,751,2001
Ulker,ULK,10,72.80,16.20,728,2001
KK Zadar,ZAD,7,101.29,20.26,709,2001
Telindus Oostende,OOS,7,93.57,18.71,655,2001
KK Buducnost,BUD,7,93.43,18.69,654,2001
Partizan,PAR,7,93.00,18.27,651,2001
Spirou Basket,CHA,7,90.57,17.80,634,2001
Kinder London Towers,LON,7,89.29,17.86,625,2001
Alba Berlin,BER,7,86.86,17.37,608,2001
KRKA Novo Mesto,MES,7,84.57,16.62,592,2001
Cibona VIP,CIB,7,82.86,16.57,580,2001
Asvel Basket,ASV,7,82.00,16.40,574,2001
Pau-Orthez,PAU,7,80.29,16.06,562,2001
Peristeri,PER,7,80.29,16.06,562,2001
Opel Skyliners,FRA,7,79.57,15.91,557,2001
Zalgiris,ZAL,7,78.57,15.71,550,2001
Unicaja,MAL,7,77.29,15.19,541,2001
Idea Slask,WRO,7,74.29,14.86,520,2001
Benetton Basket,TRE,12,78.50,15.70,942,2002
CSKA Moscow,CSK,12,77.42,15.48,929,2002
Montepaschi Siena,SIE,10,86.80,17.36,868,2002
Virtus Bologna,VIR,10,85.40,17.08,854,2002
Cibona VIP,CIB,10,83.90,16.78,839,2002
Unicaja,MAL,10,81.60,16.12,816,2002
Panathinaikos,PAN,10,80.20,16.04,802,2002
Tau Ceramica,BAS,10,80.00,16.00,800,2002
Ulker,ULK,10,79.10,15.62,791,2002
Asvel Basket,ASV,10,78.90,15.78,789,2002
Skipper Bologna,FOR,10,78.30,15.47,783,2002
Maccabi Elite,TEL,10,78.10,15.62,781,2002
Olympiacos,OLY,10,76.40,15.28,764,2002
Union Olimpija,LJU,10,75.90,15.18,759,2002
FC Barcelona,BAR,10,75.10,14.65,751,2002
Efes Pilsen,IST,10,71.90,14.20,719,2002
KK Buducnost,BUD,7,97.14,19.43,680,2002
Zalgiris,ZAL,7,89.57,17.60,627,2002
Alba Berlin,BER,7,89.14,17.52,624,2002
Partizan,PAR,7,87.43,17.18,612,2002
Idea Slask,WRO,7,81.00,16.20,567,2002
Pau-Orthez,PAU,7,78.71,15.74,551,2002
Real Madrid,MAD,7,78.29,15.38,548,2002
AEK Athens,AEK,7,78.14,15.63,547,2002
Skipper Bologna,FOR,12,81.00,16.03,972,2003
CSKA Moscow,CSK,12,75.42,15.08,905,2003
Panathinaikos,PAN,10,86.00,16.58,860,2003
Zalgiris,ZAL,10,85.60,16.91,856,2003
