Klub,Kratica,St_tekem,Povprecje,Na_40_min,Score,Sezona
Tau Ceramica,BAS,12,73.67,14.73,884,2000
Kinder Bologna,VIR,10,77.70,15.54,777,2000
PAF Bologna,FOR,9,77.67,15.11,699,2000
Benetton Basket,TRE,8,80.38,15.83,643,2000
Real Madrid,MAD,8,79.00,15.80,632,2000
AEK Athens,AEK,8,76.00,15.20,608,2000
Union Olimpija Ljubljana,LJU,8,75.88,14.94,607,2000
Olympiakos,OLY,7,82.14,16.43,575,2000
Muller Verona,VER,6,89.67,17.57,538,2000
FC Barcelona,BAR,6,87.33,17.47,524,2000
KK Buducnost,BUD,6,81.67,16.33,490,2000
Zalgiris Kaunas,ZAL,6,81.33,15.93,488,2000
Peristeri,PER,6,80.67,16.13,484,2000
PAOK BC,PAO,6,79.33,15.87,476,2000
Cibona VIP,CIB,6,79.00,15.48,474,2000
Adecco Estudiantes,EST,6,75.17,15.03,451,2000
Ovarense Aerosoles,OVA,5,78.40,15.68,392,2000
KK Zadar,ZAD,5,78.00,15.60,390,2000
Lugano Snakes,LUG,5,75.60,15.12,378,2000
Saint Petersburg Lions,PET,5,75.40,15.08,377,2000
Region Wallone Spirou Charleroi,CHA,5,74.20,14.84,371,2000
Haribo London Towers,LON,5,73.80,14.76,369,2000
Hapoel Jerusalem,JER,5,73.20,14.64,366,2000
Opel Skyliners,FRA,5,66.80,13.36,334,2000
Kinder Bologna,VIR,11,84.18,16.84,926,2001
Panathinaikos,PAN,11,81.18,16.33,893,2001
CSKA Moscow,CSK,10,88.00,18.10,880,2001
FC Barcelona,BAR,10,87.80,17.56,878,2001
Maccabi Elite,TEL,11,79.18,15.66,871,2001
Real Madrid,MAD,10,85.10,17.02,851,2001
Tau Ceramica,BAS,10,83.10,16.21,831,2001
Ural Great,PEM,10,83.00,16.40,830,2001
Benetton Basket,TRE,10,82.90,16.58,829,2001
Skipper Bologna,FOR,10,80.50,16.10,805,2001
Efes Pilsen,IST,10,80.00,16.00,800,2001
AEK Athens,AEK,10,79.50,15.51,795,2001
Olympiacos,OLY,10,78.50,15.70,785,2001
Scavolini Pesaro,PES,10,76.90,15.38,769,2001
Union Olimpija,LJU,10,76.30,15.07,763,2001
Ulker,ULK,10,69.30,15.40,693,2001
Partizan,PAR,7,86.86,17.07,608,2001
KRKA Novo Mesto,MES,7,86.71,17.04,607,2001
KK Zadar,ZAD,7,84.14,16.83,589,2001
Asvel Basket,ASV,7,83.71,16.74,586,2001
KK Buducnost,BUD,7,79.71,15.94,558,2001
Spirou Basket,CHA,7,78.43,15.41,549,2001
Pau-Orthez,PAU,7,77.43,15.49,542,2001
Telindus Oostende,OOS,7,77.14,15.43,540,2001
Opel Skyliners,FRA,7,76.57,15.31,536,2001
Unicaja,MAL,7,75.57,14.85,529,2001
Alba Berlin,BER,7,74.86,14.97,524,2001
Peristeri,PER,7,74.57,15.03,522,2001
Cibona VIP,CIB,7,73.14,14.63,512,2001
Zalgiris,ZAL,7,71.14,14.23,498,2001
Idea Slask,WRO,7,65.57,13.11,459,2001
Kinder London Towers,LON,7,63.29,12.66,443,2001
CSKA Moscow,CSK,12,82.42,16.48,989,2002
Benetton Basket,TRE,12,82.33,16.47,988,2002
Montepaschi Siena,SIE,10,84.30,16.86,843,2002
Ulker,ULK,10,80.80,15.96,808,2002
Maccabi Elite,TEL,10,79.20,15.84,792,2002
Panathinaikos,PAN,10,77.40,15.48,774,2002
Olympiacos,OLY,10,75.80,15.16,758,2002
Virtus Bologna,VIR,10,75.60,15.12,756,2002
Union Olimpija,LJU,10,75.30,15.06,753,2002
Unicaja,MAL,10,75.20,14.85,752,2002
FC Barcelona,BAR,10,75.10,14.65,751,2002
Tau Ceramica,BAS,10,75.00,15.00,750,2002
Skipper Bologna,FOR,10,72.80,14.38,728,2002
Cibona VIP,CIB,10,72.50,14.50,725,2002
Asvel Basket,ASV,10,72.40,14.48,724,2002
Efes Pilsen,IST,10,71.80,14.18,718,2002
Zalgiris,ZAL,7,78.86,15.49,552,2002
Real Madrid,MAD,7,77.43,15.21,542,2002
Alba Berlin,BER,7,76.71,15.07,537,2002
Partizan,PAR,7,75.71,14.88,530,2002
KK Buducnost,BUD,7,74.71,14.94,523,2002
Idea Slask,WRO,7,72.43,14.49,507,2002
Pau-Orthez,PAU,7,72.29,14.46,506,2002
AEK Athens,AEK,7,71.29,14.26,499,2002
CSKA Moscow,CSK,12,80.50,16.10,966,2003
Skipper Bologna,FOR,12,78.33,15.51,940,2003
Maccabi Elite,TEL,10,86.00,16.99,860,2003
Zalgiris,ZAL,10,81.30,16.06,813,2003
Tau Ceramica,BAS,10,81.10,16.22,811,2003
Benetton Basket,TRE,10,80.20,16.04,802,2003
Panathinaikos,PAN,10,79.60,15.34,796,2003
Montepaschi Siena,SIE,10,79.50,15.90,795,2003
Pau-Orthez,PAU,10,76.80,15.36,768,2003
Union Olimpija,LJU,10,75.60,14.93,756,2003
Olympiacos,OLY,10,75.30,15.06,753,2003
Ulker,ULK,10,75.30,15.06,753,2003
Efes Pilsen,IST,10,75.00,14.81,750,2003
Cibona VIP,CIB,10,73.50,14.52,735,2003
FC Barcelona,BAR,10,71.30,14.26,713,2003
Pamesa Valencia,PAM,10,70.30,15.62,703,2003
Alba Berlin,BER,7,78.57,15.44,550,2003
Partizan,PAR,7,78.14,15.35,547,2003
Idea Slask,WRO,7,76.00,15.20,532,2003
Lottomatica Roma,ROM,7,74.14,14.57,519,2003
Unicaja,MAL,7,73.29,14.40,513,2003
AEK Athens,AEK,7,72.86,14.57,510,2003
KRKA Novo Mesto,MES,7,64.71,12.94,453,2003
Asvel Basket,ASV,7,64.57,12.91,452,2003
Tau Ceramica,BAS,13,83.15,16.47,1081,2004
Maccabi Elite,TEL,11,91.18,18.24,1003,2004
Panathinaikos,PAN,13,76.69,15.05,997,2004
CSKA Moscow,CSK,11,88.00,17.40,968,2004
Efes Pilsen,IST,12,77.25,15.29,927,2004
Scavolini Pesaro,PES,11,75.27,14.72,828,2004
Zalgiris,ZAL,10,82.50,16.30,825,2004
Climamio Bologna,FOR,10,80.00,15.80,800,2004
Ulker,ULK,11,71.91,14.38,791,2004
Cibona VIP,CIB,10,77.10,15.04,771,2004
Benetton Basket,TRE,11,70.00,14.00,770,2004
Montepaschi Siena,SIE,10,75.90,15.18,759,2004
FC Barcelona,BAR,10,75.80,15.16,758,2004
Real Madrid,MAD,10,75.80,14.79,758,2004
AEK Athens,AEK,10,70.90,14.18,709,2004
Prokom Trefl Sopot,SOP,10,66.80,13.36,668,2004
Adecco Estudiantes,EST,7,75.00,15.00,525,2004
Pau-Orthez,PAU,7,73.86,14.77,517,2004
Unicaja,MAL,7,72.29,14.46,506,2004
Union Olimpija,LJU,7,71.57,14.31,501,2004
Partizan,PAR,7,71.00,14.20,497,2004
Opel Skyliners,FRA,7,70.14,14.03,491,2004
Asvel Basket,ASV,7,69.43,13.89,486,2004
Olympiacos,OLY,7,65.43,13.09,458,2004
Tau Ceramica,BAS,14,75.86,15.04,1062,2005
Maccabi Elite,TEL,12,81.17,16.23,974,2005
Olympiacos,OLY,12,77.75,15.55,933,2005
CSKA Moscow,CSK,12,76.25,14.94,915,2005
Panathinaikos,PAN,11,80.18,16.04,882,2005
Efes Pilsen,IST,11,73.91,14.62,813,2005
Real Madrid,MAD,12,66.58,13.32,799,2005
Unicaja,MAL,10,79.00,15.80,790,2005
Lietuvos Rytas,LIE,10,78.50,15.51,785,2005
Winterthur FC Barcelona,BAR,11,71.18,14.24,783,2005
Climamio Bologna,FOR,10,78.00,15.41,780,2005
Benetton Basket,TRE,10,74.90,14.80,749,2005
Zalgiris,ZAL,10,71.00,14.20,710,2005
Cibona VIP,CIB,10,67.20,13.44,672,2005
Ulker,ULK,10,66.90,13.38,669,2005
GHP Bamberg,BAM,10,63.30,12.66,633,2005
Union Olimpija,LJU,7,73.14,14.63,512,2005
Pau-Orthez,PAU,7,71.57,14.31,501,2005
Montepaschi Siena,SIE,7,71.00,14.20,497,2005
Prokom Trefl Sopot,SOP,7,70.86,14.17,496,2005
AJ Milano,MIL,7,68.71,13.27,481,2005
AEK Athens,AEK,7,67.00,13.40,469,2005
Partizan,PAR,7,65.57,12.88,459,2005
Strasbourg,STR,7,63.00,12.60,441,2005
Tau Ceramica,BAS,12,82.08,16.42,985,2006
Maccabi Elite,TEL,12,80.25,15.72,963,2006
Unicaja,MAL,13,72.31,14.06,940,2006
CSKA Moscow,CSK,12,74.58,14.76,895,2006
Winterthur FC Barcelona,BAR,12,73.25,14.50,879,2006
Olympiacos,OLY,11,77.09,15.42,848,2006
Panathinaikos,PAN,11,75.00,15.00,825,2006
Dynamo Moscow,DYN,10,78.70,14.31,787,2006
