Klub,Kratica,St_tekem,Povprecje,Na_40_min,Steals,Sezona
Tau Ceramica,BAS,12,10.42,2.08,125,2000
PAF Bologna,FOR,9,11.78,2.29,106,2000
Kinder Bologna,VIR,10,9.90,1.98,99,2000
Olympiakos,OLY,7,13.00,2.60,91,2000
Real Madrid,MAD,8,11.00,2.20,88,2000
Union Olimpija Ljubljana,LJU,8,10.38,2.04,83,2000
Adecco Estudiantes,EST,6,12.83,2.57,77,2000
Benetton Basket,TRE,8,9.63,1.90,77,2000
Zalgiris Kaunas,ZAL,6,11.67,2.29,70,2000
Lugano Snakes,LUG,5,13.80,2.76,69,2000
Peristeri,PER,6,10.83,2.17,65,2000
Hapoel Jerusalem,JER,5,12.80,2.56,64,2000
KK Buducnost,BUD,6,10.50,2.10,63,2000
KK Zadar,ZAD,5,12.20,2.44,61,2000
Cibona VIP,CIB,6,10.00,1.96,60,2000
Saint Petersburg Lions,PET,5,12.00,2.40,60,2000
AEK Athens,AEK,8,7.25,1.45,58,2000
FC Barcelona,BAR,6,8.33,1.67,50,2000
Ovarense Aerosoles,OVA,5,10.00,2.00,50,2000
Opel Skyliners,FRA,5,9.40,1.88,47,2000
PAOK BC,PAO,6,7.67,1.53,46,2000
Haribo London Towers,LON,5,8.80,1.76,44,2000
Region Wallone Spirou Charleroi,CHA,5,6.40,1.28,32,2000
Muller Verona,VER,6,5.00,0.98,30,2000
FC Barcelona,BAR,10,11.80,2.36,118,2001
Tau Ceramica,BAS,10,11.00,2.15,110,2001
Kinder Bologna,VIR,11,9.64,1.93,106,2001
Maccabi Elite,TEL,11,8.91,1.76,98,2001
Panathinaikos,PAN,11,8.82,1.77,97,2001
Union Olimpija,LJU,10,9.30,1.84,93,2001
Olympiacos,OLY,10,9.30,1.86,93,2001
Skipper Bologna,FOR,10,9.00,1.80,90,2001
Benetton Basket,TRE,10,9.00,1.80,90,2001
CSKA Moscow,CSK,10,8.90,1.83,89,2001
Ural Great,PEM,10,8.70,1.72,87,2001
Efes Pilsen,IST,10,8.10,1.62,81,2001
KK Buducnost,BUD,7,9.71,1.94,68,2001
Opel Skyliners,FRA,7,9.57,1.91,67,2001
Real Madrid,MAD,10,6.70,1.34,67,2001
Scavolini Pesaro,PES,10,6.70,1.34,67,2001
AEK Athens,AEK,10,6.40,1.25,64,2001
KRKA Novo Mesto,MES,7,9.00,1.77,63,2001
Telindus Oostende,OOS,7,8.86,1.77,62,2001
Asvel Basket,ASV,7,8.71,1.74,61,2001
Peristeri,PER,7,8.71,1.76,61,2001
Alba Berlin,BER,7,8.00,1.60,56,2001
Zalgiris,ZAL,7,8.00,1.60,56,2001
Spirou Basket,CHA,7,7.86,1.54,55,2001
Ulker,ULK,10,5.40,1.20,54,2001
Kinder London Towers,LON,7,7.57,1.51,53,2001
Idea Slask,WRO,7,7.43,1.49,52,2001
Pau-Orthez,PAU,7,7.14,1.43,50,2001
KK Zadar,ZAD,7,7.00,1.40,49,2001
Cibona VIP,CIB,7,6.86,1.37,48,2001
Partizan,PAR,7,6.57,1.29,46,2001
Unicaja,MAL,7,5.86,1.15,41,2001
Benetton Basket,TRE,12,11.33,2.27,136,2002
CSKA Moscow,CSK,12,8.92,1.78,107,2002
Union Olimpija,LJU,10,10.00,2.00,100,2002
Panathinaikos,PAN,10,9.80,1.96,98,2002
Tau Ceramica,BAS,10,9.30,1.86,93,2002
Efes Pilsen,IST,10,9.10,1.80,91,2002
Ulker,ULK,10,8.90,1.76,89,2002
Maccabi Elite,TEL,10,8.70,1.74,87,2002
Montepaschi Siena,SIE,10,8.40,1.68,84,2002
Alba Berlin,BER,7,11.43,2.25,80,2002
Olympiacos,OLY,10,8.00,1.60,80,2002
Asvel Basket,ASV,10,7.90,1.58,79,2002
Skipper Bologna,FOR,10,7.90,1.56,79,2002
Cibona VIP,CIB,10,7.40,1.48,74,2002
Partizan,PAR,7,10.00,1.96,70,2002
Virtus Bologna,VIR,10,6.80,1.36,68,2002
FC Barcelona,BAR,10,6.70,1.31,67,2002
Pau-Orthez,PAU,7,9.43,1.89,66,2002
Real Madrid,MAD,7,8.71,1.71,61,2002
KK Buducnost,BUD,7,8.29,1.66,58,2002
Idea Slask,WRO,7,8.29,1.66,58,2002
AEK Athens,AEK,7,8.00,1.60,56,2002
Zalgiris,ZAL,7,7.57,1.49,53,2002
Unicaja,MAL,10,5.10,1.01,51,2002
Panathinaikos,PAN,10,12.40,2.39,124,2003
CSKA Moscow,CSK,12,9.92,1.98,119,2003
Skipper Bologna,FOR,12,9.83,1.95,118,2003
Montepaschi Siena,SIE,10,9.70,1.94,97,2003
Benetton Basket,TRE,10,9.10,1.82,91,2003
FC Barcelona,BAR,10,9.00,1.80,90,2003
Tau Ceramica,BAS,10,8.60,1.72,86,2003
Pau-Orthez,PAU,10,8.60,1.72,86,2003
Efes Pilsen,IST,10,8.50,1.68,85,2003
Maccabi Elite,TEL,10,8.50,1.68,85,2003
Pamesa Valencia,PAM,10,8.30,1.84,83,2003
Olympiacos,OLY,10,8.00,1.60,80,2003
Union Olimpija,LJU,10,7.80,1.54,78,2003
Zalgiris,ZAL,10,7.60,1.50,76,2003
KRKA Novo Mesto,MES,7,10.57,2.11,74,2003
Ulker,ULK,10,7.30,1.46,73,2003
Cibona VIP,CIB,10,6.90,1.36,69,2003
Unicaja,MAL,7,9.57,1.88,67,2003
Asvel Basket,ASV,7,9.43,1.89,66,2003
Alba Berlin,BER,7,9.43,1.85,66,2003
Partizan,PAR,7,8.71,1.71,61,2003
AEK Athens,AEK,7,8.00,1.60,56,2003
Idea Slask,WRO,7,7.86,1.57,55,2003
Lottomatica Roma,ROM,7,4.86,0.95,34,2003
Tau Ceramica,BAS,13,10.85,2.15,141,2004
Panathinaikos,PAN,13,10.62,2.08,138,2004
Efes Pilsen,IST,12,10.75,2.13,129,2004
Prokom Trefl Sopot,SOP,10,11.50,2.30,115,2004
Scavolini Pesaro,PES,11,9.82,1.92,108,2004
Maccabi Elite,TEL,11,9.82,1.96,108,2004
Zalgiris,ZAL,10,10.80,2.13,108,2004
Ulker,ULK,11,9.64,1.93,106,2004
Cibona VIP,CIB,10,9.90,1.93,99,2004
FC Barcelona,BAR,10,9.80,1.96,98,2004
Real Madrid,MAD,10,9.70,1.89,97,2004
AEK Athens,AEK,10,9.60,1.92,96,2004
Climamio Bologna,FOR,10,9.10,1.80,91,2004
Montepaschi Siena,SIE,10,9.10,1.82,91,2004
CSKA Moscow,CSK,11,7.64,1.51,84,2004
Opel Skyliners,FRA,7,11.57,2.31,81,2004
Adecco Estudiantes,EST,7,10.57,2.11,74,2004
Pau-Orthez,PAU,7,10.57,2.11,74,2004
Benetton Basket,TRE,11,6.73,1.35,74,2004
Union Olimpija,LJU,7,9.43,1.89,66,2004
Unicaja,MAL,7,9.29,1.86,65,2004
Asvel Basket,ASV,7,9.00,1.80,63,2004
Olympiacos,OLY,7,8.57,1.71,60,2004
Partizan,PAR,7,7.00,1.40,49,2004
Tau Ceramica,BAS,14,10.36,2.05,145,2005
Olympiacos,OLY,12,11.67,2.33,140,2005
Panathinaikos,PAN,11,12.45,2.49,137,2005
Maccabi Elite,TEL,12,10.58,2.12,127,2005
Efes Pilsen,IST,11,11.27,2.23,124,2005
CSKA Moscow,CSK,12,10.25,2.01,123,2005
Ulker,ULK,10,12.30,2.46,123,2005
Real Madrid,MAD,12,9.17,1.83,110,2005
Lietuvos Rytas,LIE,10,10.30,2.03,103,2005
Climamio Bologna,FOR,10,10.00,1.98,100,2005
Zalgiris,ZAL,10,9.10,1.82,91,2005
Cibona VIP,CIB,10,8.90,1.78,89,2005
GHP Bamberg,BAM,10,8.80,1.76,88,2005
Winterthur FC Barcelona,BAR,11,8.00,1.60,88,2005
Unicaja,MAL,10,8.00,1.60,80,2005
AEK Athens,AEK,7,11.14,2.23,78,2005
AJ Milano,MIL,7,10.86,2.10,76,2005
Prokom Trefl Sopot,SOP,7,10.29,2.06,72,2005
Partizan,PAR,7,10.14,1.99,71,2005
Montepaschi Siena,SIE,7,10.14,2.03,71,2005
Pau-Orthez,PAU,7,10.00,2.00,70,2005
Strasbourg,STR,7,10.00,2.00,70,2005
Union Olimpija,LJU,7,9.86,1.97,69,2005
Benetton Basket,TRE,10,6.60,1.30,66,2005
Tau Ceramica,BAS,12,12.75,2.55,153,2006
DKV Joventut,JOV,10,13.20,2.64,132,2006
CSKA Moscow,CSK,12,10.92,2.16,131,2006
Aris TT Bank,ARI,10,13.00,2.60,130,2006
Unicaja,MAL,13,10.00,1.94,130,2006
Benetton Basket,TRE,10,12.80,2.53,128,2006
Pau-Orthez,PAU,10,12.00,2.31,120,2006
Panathinaikos,PAN,11,10.82,2.16,119,2006
Lottomatica Roma,ROM,10,11.50,2.27,115,2006
Olympiacos,OLY,11,10.27,2.05,113,2006
Maccabi Elite,TEL,12,9.42,1.84,113,2006
Winterthur FC Barcelona,BAR,12,8.92,1.76,107,2006
Dynamo Moscow,DYN,10,10.40,1.89,104,2006
Partizan,PAR,10,9.10,1.82,91,2006
Prokom Trefl Sopot,SOP,10,9.10,1.80,91,2006
Fenerbahce Ulker,ULK,7,12.14,2.39,85,2006
Zalgiris,ZAL,7,12.00,2.40,84,2006
Union Olimpija,LJU,7,11.29,2.26,79,2006
Cibona,CIB,7,10.43,1.98,73,2006
RheinEnergie,COL,7,10.43,2.09,73,2006
Efes Pilsen,IST,10,7.30,1.46,73,2006
Eldo Napoli,NAP,7,10.29,2.02,72,2006
Climamio Bologna,FOR,7,7.71,1.54,54,2006
Le Mans,LEM,7,7.00,1.40,49,2006
AXA FC Barcelona,BAR,12,10.25,2.05,123,2007
Montepaschi Siena,SIE,11,10.45,2.07,115,2007
Aris TT Bank,ARI,10,10.70,2.14,107,2007
Fenerbahce Ulker,ULK,11,9.27,1.85,102,2007
Real Madrid,MAD,10,9.90,1.98,99,2007
CSKA Moscow,CSK,13,7.46,1.49,97,2007
Tau Ceramica,BAS,12,7.83,1.55,94,2007
Olympiacos,OLY,12,7.67,1.53,92,2007
Zalgiris,ZAL,10,9.10,1.80,91,2007
Panathinaikos,PAN,10,8.60,1.70,86,2007
Lietuvos Rytas,LIE,10,8.40,1.66,84,2007
Partizan Igokea,PAR,12,7.00,1.39,84,2007
Maccabi Elite,TEL,12,6.67,1.31,80,2007
Chorale Roanne,ROA,7,11.14,2.23,78,2007
Lottomatica Roma,ROM,10,7.80,1.56,78,2007
Cibona,CIB,7,10.29,2.06,72,2007
Unicaja,MAL,10,7.10,1.42,71,2007
Efes Pilsen,IST,10,6.90,1.36,69,2007
Le Mans,LEM,7,9.86,1.97,69,2007
Union Olimpija,LJU,7,9.14,1.83,64,2007
AJ Milano,MIL,7,8.14,1.63,57,2007
Virtus VidiVici,VIR,7,7.29,1.46,51,2007
Brose Baskets,BAM,7,6.57,1.31,46,2007
Prokom Trefl Sopot,SOP,7,6.29,1.26,44,2007
Montepaschi Siena,SIE,10,9.80,1.96,98,2008
Panathinaikos,PAN,11,8.36,1.67,92,2008
Regal FC Barcelona,BAR,11,7.27,1.45,80,2008
Olympiacos,OLY,10,8.00,1.58,80,2008
CSKA Moscow,CSK,11,6.73,1.35,74,2008
Cibona,CIB,8,9.13,1.82,73,2008
Unicaja,MAL,8,9.13,1.80,73,2008
Asseco Prokom,SOP,8,9.00,1.80,72,2008
Tau Ceramica,BAS,11,6.45,1.28,71,2008
Real Madrid,MAD,10,6.80,1.36,68,2008
Fenerbahce Ulker,ULK,8,7.63,1.52,61,2008
Lottomatica Roma,ROM,8,7.50,1.48,60,2008
Alba Berlin,BER,8,7.25,1.45,58,2008
Maccabi Electra,TEL,8,7.25,1.45,58,2008
AJ Milano,MIL,8,6.88,1.37,55,2008
Partizan,PAR,10,5.20,1.03,52,2008
Le Mans,LEM,5,9.60,1.87,48,2008
Zalgiris,ZAL,5,9.40,1.88,47,2008
Efes Pilsen,IST,5,8.60,1.72,43,2008
DKV Joventut,JOV,5,7.60,1.52,38,2008
SLUC Nancy,NAN,5,7.20,1.44,36,2008
Union Olimpija,LJU,5,7.00,1.30,35,2008
Panionios On Telecoms,NIO,5,6.00,1.20,30,2008
Air Avellino,AVE,5,5.60,1.09,28,2008
Olympiacos,OLY,12,6.83,1.33,82,2009
Partizan,PAR,11,7.27,1.44,80,2009
CSKA Moscow,CSK,11,7.18,1.42,79,2009
Montepaschi Siena,SIE,8,9.50,1.90,76,2009
Asseco Prokom,SOP,10,7.60,1.52,76,2009
Regal FC Barcelona,BAR,10,7.10,1.40,71,2009
Unicaja,MAL,8,8.63,1.73,69,2009
Real Madrid,MAD,10,6.70,1.32,67,2009
Panathinaikos,PAN,8,8.00,1.58,64,2009
Maccabi Electra,TEL,10,5.70,1.13,57,2009
Maroussi BC,MAR,8,6.88,1.37,55,2009
Efes Pilsen,IST,8,6.75,1.33,54,2009
Caja Laboral,BAS,10,5.10,1.02,51,2009
Cibona,CIB,8,6.25,1.23,50,2009
Zalgiris Kaunas,ZAL,8,6.13,1.22,49,2009
Union Olimpija,LJU,5,8.80,1.76,44,2009
Armani Jeans Milano,MIL,5,8.80,1.76,44,2009
Entente Orleanaise,ORL,5,8.00,1.60,40,2009
Asvel Basket,ASV,5,7.60,1.52,38,2009
BC Khimki,KHI,8,4.63,0.92,37,2009
Fenerbahce Ulker,ULK,5,6.80,1.33,34,2009
Lietuvos Rytas,LIE,5,6.60,1.32,33,2009
