Klub,Kratica,St_tekem,Povprecje,Na_40_min,Turnovers,Sezona
Tau Ceramica,BAS,12,14.50,2.90,174,2000
Kinder Bologna,VIR,10,14.80,2.96,148,2000
PAF Bologna,FOR,9,15.00,2.92,135,2000
Union Olimpija Ljubljana,LJU,8,15.75,3.10,126,2000
Real Madrid,MAD,8,15.63,3.12,125,2000
Adecco Estudiantes,EST,6,19.50,3.90,117,2000
Benetton Basket,TRE,8,13.25,2.61,106,2000
Ovarense Aerosoles,OVA,5,20.60,4.12,103,2000
Hapoel Jerusalem,JER,5,20.00,4.00,100,2000
Region Wallone Spirou Charleroi,CHA,5,19.80,3.96,99,2000
AEK Athens,AEK,8,12.00,2.40,96,2000
Zalgiris Kaunas,ZAL,6,16.00,3.13,96,2000
KK Buducnost,BUD,6,15.83,3.17,95,2000
Olympiakos,OLY,7,13.57,2.71,95,2000
Saint Petersburg Lions,PET,5,18.40,3.68,92,2000
FC Barcelona,BAR,6,15.17,3.03,91,2000
Cibona VIP,CIB,6,15.17,2.97,91,2000
Peristeri,PER,6,13.33,2.67,80,2000
Opel Skyliners,FRA,5,15.80,3.16,79,2000
Lugano Snakes,LUG,5,15.60,3.12,78,2000
Haribo London Towers,LON,5,14.80,2.96,74,2000
PAOK BC,PAO,6,12.00,2.40,72,2000
KK Zadar,ZAD,5,13.60,2.72,68,2000
Muller Verona,VER,6,10.67,2.09,64,2000
Tau Ceramica,BAS,10,16.40,3.20,164,2001
Union Olimpija,LJU,10,16.20,3.20,162,2001
Real Madrid,MAD,10,16.20,3.24,162,2001
FC Barcelona,BAR,10,15.40,3.08,154,2001
Ural Great,PEM,10,15.40,3.04,154,2001
Panathinaikos,PAN,11,13.18,2.65,145,2001
Kinder London Towers,LON,7,20.57,4.11,144,2001
Kinder Bologna,VIR,11,13.00,2.60,143,2001
Scavolini Pesaro,PES,10,13.80,2.76,138,2001
CSKA Moscow,CSK,10,13.70,2.82,137,2001
Maccabi Elite,TEL,11,12.45,2.46,137,2001
AEK Athens,AEK,10,13.60,2.65,136,2001
Skipper Bologna,FOR,10,13.50,2.70,135,2001
Ulker,ULK,10,13.40,2.98,134,2001
Olympiacos,OLY,10,12.90,2.58,129,2001
Benetton Basket,TRE,10,12.80,2.56,128,2001
KK Buducnost,BUD,7,18.14,3.63,127,2001
Zalgiris,ZAL,7,17.43,3.49,122,2001
Idea Slask,WRO,7,17.29,3.46,121,2001
Spirou Basket,CHA,7,17.00,3.34,119,2001
Partizan,PAR,7,16.57,3.26,116,2001
KRKA Novo Mesto,MES,7,16.43,3.23,115,2001
Opel Skyliners,FRA,7,16.00,3.20,112,2001
Alba Berlin,BER,7,15.43,3.09,108,2001
Peristeri,PER,7,15.29,3.08,107,2001
Telindus Oostende,OOS,7,15.14,3.03,106,2001
Efes Pilsen,IST,10,9.90,1.98,99,2001
Unicaja,MAL,7,13.43,2.64,94,2001
Pau-Orthez,PAU,7,13.14,2.63,92,2001
Cibona VIP,CIB,7,12.43,2.49,87,2001
KK Zadar,ZAD,7,12.29,2.46,86,2001
Asvel Basket,ASV,7,11.14,2.23,78,2001
Asvel Basket,ASV,10,16.00,3.20,160,2002
Benetton Basket,TRE,12,12.92,2.58,155,2002
Skipper Bologna,FOR,10,15.10,2.98,151,2002
Panathinaikos,PAN,10,14.10,2.82,141,2002
Virtus Bologna,VIR,10,14.00,2.80,140,2002
Unicaja,MAL,10,13.80,2.73,138,2002
KK Buducnost,BUD,7,19.43,3.89,136,2002
FC Barcelona,BAR,10,13.20,2.58,132,2002
CSKA Moscow,CSK,12,10.83,2.17,130,2002
Efes Pilsen,IST,10,12.70,2.51,127,2002
Cibona VIP,CIB,10,12.60,2.52,126,2002
Tau Ceramica,BAS,10,12.20,2.44,122,2002
Alba Berlin,BER,7,17.43,3.42,122,2002
Ulker,ULK,10,12.00,2.37,120,2002
Olympiacos,OLY,10,11.70,2.34,117,2002
Maccabi Elite,TEL,10,11.60,2.32,116,2002
Union Olimpija,LJU,10,11.50,2.30,115,2002
Pau-Orthez,PAU,7,16.43,3.29,115,2002
Montepaschi Siena,SIE,10,11.10,2.22,111,2002
Idea Slask,WRO,7,14.14,2.83,99,2002
