Klub,Kratica,St_tekem,Povprecje,Na_40_min,Assistances,Sezona
Tau Ceramica,BAS,10,14.00,2.80,140,2000
Benetton Basket,TRE,7,14.86,2.97,104,2000
Kinder Bologna,VIR,12,8.67,1.72,104,2000
AEK Athens,AEK,10,10.20,2.01,102,2000
Olympiakos,OLY,7,14.14,2.83,99,2000
KK Zadar,ZAD,5,19.80,3.86,99,2000
PAOK BC,PAO,7,12.71,2.50,89,2000
Real Madrid,MAD,7,12.29,2.46,86,2000
Muller Verona,VER,6,14.17,2.83,85,2000
Adecco Estudiantes,EST,6,14.00,2.74,84,2000
PAF Bologna,FOR,9,9.33,1.87,84,2000
Union Olimpija Ljubljana,LJU,7,11.86,2.39,83,2000
Saint Petersburg Lions,PET,5,16.40,3.20,82,2000
Zalgiris Kaunas,ZAL,6,13.50,2.70,81,2000
Hapoel Jerusalem,JER,5,15.80,3.16,79,2000
Peristeri,PER,6,11.50,2.30,69,2000
Opel Skyliners,FRA,5,13.20,2.64,66,2000
FC Barcelona,BAR,6,10.33,2.07,62,2000
Haribo London Towers,LON,5,11.80,2.36,59,2000
Cibona VIP,CIB,6,8.83,1.73,53,2000
Ovarense Aerosoles,OVA,5,10.20,2.04,51,2000
KK Buducnost,BUD,6,6.50,1.30,39,2000
Region Wallone Spirou Charleroi,CHA,5,6.60,1.32,33,2000
Lugano Snakes,LUG,5,3.80,0.76,19,2000
Benetton Basket,TRE,11,15.36,3.04,169,2001
Ural Great,PEM,10,16.80,3.36,168,2001
Tau Ceramica,BAS,10,16.50,3.30,165,2001
Ulker,ULK,10,16.40,3.28,164,2001
Pau-Orthez,PAU,7,20.57,4.11,144,2001
CSKA Moscow,CSK,10,14.20,2.84,142,2001
FC Barcelona,BAR,10,13.90,2.78,139,2001
Olympiacos,OLY,10,13.90,2.71,139,2001
Skipper Bologna,FOR,10,13.40,2.65,134,2001
Panathinaikos,PAN,11,11.73,2.32,129,2001
Asvel Basket,ASV,7,18.00,3.54,126,2001
Union Olimpija,LJU,10,11.90,2.38,119,2001
Real Madrid,MAD,10,11.90,2.38,119,2001
Maccabi Elite,TEL,10,11.50,2.56,115,2001
Cibona VIP,CIB,7,16.29,3.20,114,2001
Efes Pilsen,IST,10,11.40,2.28,114,2001
AEK Athens,AEK,10,10.60,2.09,106,2001
Idea Slask,WRO,7,14.57,2.86,102,2001
Telindus Oostende,OOS,7,13.29,2.61,93,2001
KRKA Novo Mesto,MES,7,13.14,2.63,92,2001
Zalgiris,ZAL,7,13.00,2.60,91,2001
Kinder Bologna,VIR,11,8.18,1.64,90,2001
Alba Berlin,BER,7,12.14,2.43,85,2001
Scavolini Pesaro,PES,10,8.10,1.62,81,2001
Unicaja,MAL,7,11.14,2.23,78,2001
Peristeri,PER,7,11.00,2.20,77,2001
KK Zadar,ZAD,7,10.57,2.09,74,2001
Spirou Basket,CHA,7,10.00,2.00,70,2001
Kinder London Towers,LON,7,9.86,1.97,69,2001
Opel Skyliners,FRA,7,9.71,1.94,68,2001
Partizan,PAR,7,8.86,1.74,62,2001
KK Buducnost,BUD,7,6.14,1.30,43,2001
Benetton Basket,TRE,10,19.10,3.82,191,2002
CSKA Moscow,CSK,10,18.20,3.64,182,2002
Asvel Basket,ASV,10,17.10,3.38,171,2002
Efes Pilsen,IST,10,15.90,3.10,159,2002
Maccabi Elite,TEL,10,15.80,3.12,158,2002
Tau Ceramica,BAS,10,15.00,3.00,150,2002
Cibona VIP,CIB,10,14.50,2.83,145,2002
Montepaschi Siena,SIE,12,11.17,2.23,134,2002
Ulker,ULK,10,13.20,2.61,132,2002
Skipper Bologna,FOR,10,12.80,2.53,128,2002
Unicaja,MAL,10,12.80,2.56,128,2002
Pau-Orthez,PAU,7,18.00,3.60,126,2002
Panathinaikos,PAN,10,12.30,2.46,123,2002
FC Barcelona,BAR,12,10.17,2.03,122,2002
Zalgiris,ZAL,7,16.43,3.29,115,2002
Olympiacos,OLY,10,11.20,2.24,112,2002
Alba Berlin,BER,7,15.00,3.00,105,2002
Union Olimpija,LJU,10,10.20,2.04,102,2002
Idea Slask,WRO,7,13.14,2.63,92,2002
KK Buducnost,BUD,7,12.71,2.50,89,2002
Virtus Bologna,VIR,10,8.00,1.60,80,2002
Partizan,PAR,7,11.14,2.23,78,2002
AEK Athens,AEK,7,10.14,1.99,71,2002
Real Madrid,MAD,7,9.71,1.94,68,2002
Maccabi Elite,TEL,12,19.58,4.22,235,2003
CSKA Moscow,CSK,10,19.90,3.93,199,2003
Pamesa Valencia,PAM,10,19.00,3.75,190,2003
Pau-Orthez,PAU,10,18.40,3.59,184,2003
Tau Ceramica,BAS,10,16.60,3.32,166,2003
Benetton Basket,TRE,10,15.90,3.14,159,2003
Zalgiris,ZAL,10,15.30,3.06,153,2003
Montepaschi Siena,SIE,12,12.67,2.51,152,2003
Skipper Bologna,FOR,10,15.10,2.91,151,2003
Efes Pilsen,IST,10,14.40,2.88,144,2003
FC Barcelona,BAR,10,13.50,2.67,135,2003
Cibona VIP,CIB,10,13.30,2.66,133,2003
Ulker,ULK,10,12.90,2.58,129,2003
Panathinaikos,PAN,10,12.30,2.46,123,2003
Union Olimpija,LJU,10,11.20,2.21,112,2003
Olympiacos,OLY,10,10.90,2.15,109,2003
Asvel Basket,ASV,7,15.29,3.06,107,2003
AEK Athens,AEK,7,13.86,2.77,97,2003
Alba Berlin,BER,7,13.14,2.63,92,2003
Unicaja,MAL,7,12.71,2.54,89,2003
Idea Slask,WRO,7,12.43,2.49,87,2003
KRKA Novo Mesto,MES,7,12.29,2.46,86,2003
Partizan,PAR,7,9.57,1.91,67,2003
Lottomatica Roma,ROM,7,9.14,1.83,64,2003
