Klub,Kratica,St_tekem,Povprecje,Na_40_min,FoulsCommited,Sezona
Kinder Bologna,VIR,12,25.25,5.00,303,2000
AEK Athens,AEK,10,25.30,5.00,253,2000
Tau Ceramica,BAS,10,24.10,4.82,241,2000
PAF Bologna,FOR,9,21.00,4.20,189,2000
Union Olimpija Ljubljana,LJU,7,26.43,5.33,185,2000
Olympiakos,OLY,7,24.57,4.91,172,2000
Benetton Basket,TRE,7,23.43,4.69,164,2000
PAOK BC,PAO,7,23.00,4.52,161,2000
Real Madrid,MAD,7,22.71,4.54,159,2000
Adecco Estudiantes,EST,6,23.83,4.67,143,2000
KK Buducnost,BUD,6,21.83,4.37,131,2000
Cibona VIP,CIB,6,21.83,4.28,131,2000
Opel Skyliners,FRA,5,26.00,5.20,130,2000
Zalgiris Kaunas,ZAL,6,21.50,4.30,129,2000
Lugano Snakes,LUG,5,25.60,5.12,128,2000
Peristeri,PER,6,21.33,4.27,128,2000
Muller Verona,VER,6,21.00,4.20,126,2000
Region Wallone Spirou Charleroi,CHA,5,24.80,4.96,124,2000
FC Barcelona,BAR,6,20.50,4.10,123,2000
KK Zadar,ZAD,5,24.40,4.76,122,2000
Haribo London Towers,LON,5,23.60,4.72,118,2000
Saint Petersburg Lions,PET,5,23.40,4.57,117,2000
Ovarense Aerosoles,OVA,5,23.00,4.60,115,2000
Hapoel Jerusalem,JER,5,21.00,4.20,105,2000
Panathinaikos,PAN,11,28.45,5.63,313,2001
Olympiacos,OLY,10,26.00,5.07,260,2001
Union Olimpija,LJU,10,25.00,5.00,250,2001
Skipper Bologna,FOR,10,24.50,4.84,245,2001
Scavolini Pesaro,PES,10,24.30,4.86,243,2001
Real Madrid,MAD,10,23.90,4.78,239,2001
Efes Pilsen,IST,10,23.50,4.70,235,2001
Benetton Basket,TRE,11,21.09,4.17,232,2001
Ulker,ULK,10,22.50,4.50,225,2001
Kinder Bologna,VIR,11,20.45,4.09,225,2001
Tau Ceramica,BAS,10,22.40,4.48,224,2001
AEK Athens,AEK,10,22.00,4.35,220,2001
Ural Great,PEM,10,21.40,4.28,214,2001
CSKA Moscow,CSK,10,21.30,4.26,213,2001
Maccabi Elite,TEL,10,20.40,4.53,204,2001
FC Barcelona,BAR,10,19.30,3.86,193,2001
Partizan,PAR,7,27.29,5.36,191,2001
Cibona VIP,CIB,7,26.86,5.28,188,2001
KRKA Novo Mesto,MES,7,26.57,5.31,186,2001
Asvel Basket,ASV,7,26.29,5.16,184,2001
Peristeri,PER,7,26.29,5.26,184,2001
Telindus Oostende,OOS,7,25.86,5.08,181,2001
Alba Berlin,BER,7,25.29,5.06,177,2001
