Klub,Kratica,St_tekem,Povprecje,Na_40_min,Prejete-tocke,Sezona
Kinder Bologna,VIR,12,77.17,15.27,926,2000
AEK Athens,AEK,10,71.50,14.12,715,2000
Tau Ceramica,BAS,10,71.30,14.26,713,2000
PAF Bologna,FOR,9,71.67,14.33,645,2000
Benetton Basket,TRE,7,79.14,15.83,554,2000
Olympiakos,OLY,7,76.14,15.23,533,2000
PAOK BC,PAO,7,76.14,14.96,533,2000
Union Olimpija Ljubljana,LJU,7,75.86,15.17,531,2000
Muller Verona,VER,6,85.17,17.03,511,2000
Adecco Estudiantes,EST,6,83.33,16.33,500,2000
Real Madrid,MAD,7,70.86,14.17,496,2000
Peristeri,PER,6,77.50,15.50,465,2000
KK Buducnost,BUD,6,76.83,15.37,461,2000
Zalgiris Kaunas,ZAL,6,76.00,15.20,456,2000
Ovarense Aerosoles,OVA,5,90.40,18.08,452,2000
FC Barcelona,BAR,6,74.67,14.93,448,2000
Haribo London Towers,LON,5,88.80,17.76,444,2000
Cibona VIP,CIB,6,71.67,14.04,430,2000
Lugano Snakes,LUG,5,85.60,17.12,428,2000
KK Zadar,ZAD,5,84.20,16.43,421,2000
Hapoel Jerusalem,JER,5,84.00,16.80,420,2000
Saint Petersburg Lions,PET,5,84.00,16.39,420,2000
Opel Skyliners,FRA,5,83.00,16.60,415,2000
Region Wallone Spirou Charleroi,CHA,5,82.00,16.40,410,2000
Ural Great,PEM,10,88.70,17.74,887,2001
Benetton Basket,TRE,11,80.55,15.93,886,2001
Scavolini Pesaro,PES,10,87.00,17.40,870,2001
Real Madrid,MAD,10,86.40,17.28,864,2001
Panathinaikos,PAN,11,77.36,15.30,851,2001
Skipper Bologna,FOR,10,84.70,16.73,847,2001
CSKA Moscow,CSK,10,83.10,16.62,831,2001
Olympiacos,OLY,10,79.90,15.59,799,2001
Ulker,ULK,10,78.10,15.62,781,2001
Kinder Bologna,VIR,11,70.36,14.14,774,2001
AEK Athens,AEK,10,75.50,14.91,755,2001
Tau Ceramica,BAS,10,75.10,15.02,751,2001
FC Barcelona,BAR,10,72.70,14.54,727,2001
Union Olimpija,LJU,10,71.70,14.34,717,2001
Efes Pilsen,IST,10,71.60,14.32,716,2001
Kinder London Towers,LON,7,94.14,18.83,659,2001
Maccabi Elite,TEL,10,63.50,14.11,635,2001
KRKA Novo Mesto,MES,7,90.00,18.00,630,2001
KK Buducnost,BUD,7,86.14,18.27,603,2001
KK Zadar,ZAD,7,85.43,16.93,598,2001
Peristeri,PER,7,85.14,17.03,596,2001
Telindus Oostende,OOS,7,84.57,16.62,592,2001
Cibona VIP,CIB,7,83.57,16.42,585,2001
Asvel Basket,ASV,7,80.14,15.75,561,2001
Pau-Orthez,PAU,7,78.86,15.77,552,2001
Spirou Basket,CHA,7,78.14,15.63,547,2001
Zalgiris,ZAL,7,78.14,15.63,547,2001
Alba Berlin,BER,7,77.86,15.57,545,2001
Idea Slask,WRO,7,77.29,15.19,541,2001
Partizan,PAR,7,77.14,15.16,540,2001
Unicaja,MAL,7,73.00,14.60,511,2001
Opel Skyliners,FRA,7,71.86,14.37,503,2001
FC Barcelona,BAR,12,71.42,14.28,857,2002
Montepaschi Siena,SIE,12,70.92,14.18,851,2002
Virtus Bologna,VIR,10,82.90,16.58,829,2002
