Klub,Kratica,St_tekem,Povprecje,Na_40_min,Score,Sezona
Kinder Bologna,VIR,12,90.17,17.85,1082,2000
Tau Ceramica,BAS,10,82.00,16.40,820,2000
AEK Athens,AEK,10,77.50,15.31,775,2000
PAF Bologna,FOR,9,79.22,15.84,713,2000
Olympiakos,OLY,7,89.14,17.83,624,2000
Benetton Basket,TRE,7,89.14,17.83,624,2000
Real Madrid,MAD,7,88.57,17.71,620,2000
Union Olimpija Ljubljana,LJU,7,85.14,17.16,596,2000
PAOK BC,PAO,7,84.43,16.59,591,2000
Muller Verona,VER,6,93.00,18.60,558,2000
Adecco Estudiantes,EST,6,86.50,16.95,519,2000
Zalgiris Kaunas,ZAL,6,84.83,16.97,509,2000
Peristeri,PER,6,84.00,16.80,504,2000
FC Barcelona,BAR,6,83.17,16.63,499,2000
KK Buducnost,BUD,6,79.83,15.97,479,2000
KK Zadar,ZAD,5,90.00,17.56,450,2000
Cibona VIP,CIB,6,72.83,14.27,437,2000
Hapoel Jerusalem,JER,5,83.60,16.72,418,2000
Haribo London Towers,LON,5,81.20,16.24,406,2000
Saint Petersburg Lions,PET,5,80.20,15.65,401,2000
Lugano Snakes,LUG,5,79.80,15.96,399,2000
Region Wallone Spirou Charleroi,CHA,5,79.60,15.92,398,2000
Opel Skyliners,FRA,5,72.40,14.48,362,2000
Ovarense Aerosoles,OVA,5,70.80,14.16,354,2000
Benetton Basket,TRE,11,90.64,17.92,997,2001
Ural Great,PEM,10,95.20,19.04,952,2001
Panathinaikos,PAN,11,86.45,17.12,951,2001
Olympiacos,OLY,10,90.00,17.56,900,2001
Kinder Bologna,VIR,11,80.73,16.16,888,2001
Tau Ceramica,BAS,10,88.40,17.68,884,2001
Skipper Bologna,FOR,10,87.00,17.19,870,2001
Real Madrid,MAD,10,86.00,17.20,860,2001
Scavolini Pesaro,PES,10,84.20,16.84,842,2001
FC Barcelona,BAR,10,83.20,16.64,832,2001
AEK Athens,AEK,10,83.10,16.41,831,2001
CSKA Moscow,CSK,10,82.70,16.54,827,2001
Ulker,ULK,10,80.60,16.12,806,2001
Union Olimpija,LJU,10,77.20,15.44,772,2001
Efes Pilsen,IST,10,76.50,15.30,765,2001
Maccabi Elite,TEL,10,71.30,15.84,713,2001
KRKA Novo Mesto,MES,7,91.14,18.23,638,2001
Cibona VIP,CIB,7,85.43,16.79,598,2001
Telindus Oostende,OOS,7,85.43,16.79,598,2001
Pau-Orthez,PAU,7,83.43,16.69,584,2001
KK Zadar,ZAD,7,81.00,16.05,567,2001
Asvel Basket,ASV,7,80.14,15.75,561,2001
Zalgiris,ZAL,7,79.43,15.89,556,2001
KK Buducnost,BUD,7,78.57,16.67,550,2001
Idea Slask,WRO,7,77.43,15.21,542,2001
Alba Berlin,BER,7,77.29,15.46,541,2001
Partizan,PAR,7,75.71,14.88,530,2001
Peristeri,PER,7,75.71,15.14,530,2001
Unicaja,MAL,7,75.00,15.00,525,2001
Spirou Basket,CHA,7,71.71,14.34,502,2001
Opel Skyliners,FRA,7,71.57,14.31,501,2001
Kinder London Towers,LON,7,66.71,13.34,467,2001
FC Barcelona,BAR,12,82.17,16.43,986,2002
Montepaschi Siena,SIE,12,78.33,15.67,940,2002
Benetton Basket,TRE,10,91.70,18.34,917,2002
Tau Ceramica,BAS,10,87.80,17.56,878,2002
Maccabi Elite,TEL,10,87.40,17.26,874,2002
Asvel Basket,ASV,10,82.60,16.32,826,2002
Panathinaikos,PAN,10,81.10,16.22,811,2002
CSKA Moscow,CSK,10,80.70,16.14,807,2002
Skipper Bologna,FOR,10,80.70,15.94,807,2002
Union Olimpija,LJU,10,79.70,15.94,797,2002
Virtus Bologna,VIR,10,79.40,15.88,794,2002
Cibona VIP,CIB,10,78.80,15.38,788,2002
Ulker,ULK,10,78.70,15.55,787,2002
Unicaja,MAL,10,78.20,15.64,782,2002
Efes Pilsen,IST,10,77.90,15.20,779,2002
Olympiacos,OLY,10,73.50,14.70,735,2002
Zalgiris,ZAL,7,84.14,16.83,589,2002
KK Buducnost,BUD,7,83.57,16.42,585,2002
Partizan,PAR,7,82.71,16.54,579,2002
Pau-Orthez,PAU,7,81.43,16.29,570,2002
Real Madrid,MAD,7,78.86,15.77,552,2002
Idea Slask,WRO,7,76.00,15.20,532,2002
Alba Berlin,BER,7,75.29,15.06,527,2002
AEK Athens,AEK,7,71.57,14.06,501,2002
Maccabi Elite,TEL,12,87.00,18.77,1044,2003
Montepaschi Siena,SIE,12,81.83,16.20,982,2003
Skipper Bologna,FOR,10,92.70,17.87,927,2003
Benetton Basket,TRE,10,89.10,17.60,891,2003
Tau Ceramica,BAS,10,87.60,17.52,876,2003
Pamesa Valencia,PAM,10,86.40,17.07,864,2003
Zalgiris,ZAL,10,84.90,16.98,849,2003
