Klub,Kratica,St_tekem,Povprecje,Na_40_min,Steals,Sezona
Kinder Bologna,VIR,12,19.67,3.89,236,2000
PAF Bologna,FOR,9,19.67,3.93,177,2000
Benetton Basket,TRE,7,17.71,3.54,124,2000
Tau Ceramica,BAS,10,11.20,2.24,112,2000
Lugano Snakes,LUG,5,20.40,4.08,102,2000
KK Zadar,ZAD,5,18.80,3.67,94,2000
Real Madrid,MAD,7,13.29,2.66,93,2000
Union Olimpija Ljubljana,LJU,7,13.00,2.62,91,2000
Muller Verona,VER,6,15.00,3.00,90,2000
FC Barcelona,BAR,6,13.17,2.63,79,2000
Cibona VIP,CIB,6,11.33,2.22,68,2000
AEK Athens,AEK,10,6.30,1.24,63,2000
Adecco Estudiantes,EST,6,9.17,1.80,55,2000
Opel Skyliners,FRA,5,10.60,2.12,53,2000
PAOK BC,PAO,7,7.43,1.46,52,2000
Olympiakos,OLY,7,6.86,1.37,48,2000
KK Buducnost,BUD,6,7.00,1.40,42,2000
Peristeri,PER,6,6.83,1.37,41,2000
Hapoel Jerusalem,JER,5,8.00,1.60,40,2000
Ovarense Aerosoles,OVA,5,7.80,1.56,39,2000
Saint Petersburg Lions,PET,5,7.60,1.48,38,2000
Haribo London Towers,LON,5,7.40,1.48,37,2000
Zalgiris Kaunas,ZAL,6,5.17,1.03,31,2000
Region Wallone Spirou Charleroi,CHA,5,4.60,0.92,23,2000
Kinder Bologna,VIR,11,17.73,3.55,195,2001
Benetton Basket,TRE,11,16.09,3.18,177,2001
Skipper Bologna,FOR,10,15.80,3.12,158,2001
Union Olimpija,LJU,10,13.90,2.78,139,2001
Scavolini Pesaro,PES,10,13.40,2.68,134,2001
Tau Ceramica,BAS,10,12.30,2.46,123,2001
Maccabi Elite,TEL,10,11.90,2.64,119,2001
FC Barcelona,BAR,10,10.90,2.18,109,2001
Ulker,ULK,10,10.80,2.16,108,2001
KK Zadar,ZAD,7,14.29,2.83,100,2001
Efes Pilsen,IST,10,9.80,1.96,98,2001
Real Madrid,MAD,10,9.00,1.80,90,2001
Panathinaikos,PAN,11,7.73,1.53,85,2001
CSKA Moscow,CSK,10,7.60,1.52,76,2001
Olympiacos,OLY,10,7.10,1.39,71,2001
Opel Skyliners,FRA,7,9.29,1.86,65,2001
Unicaja,MAL,7,8.71,1.74,61,2001
AEK Athens,AEK,10,6.00,1.19,60,2001
KK Buducnost,BUD,7,8.57,1.82,60,2001
Peristeri,PER,7,8.43,1.69,59,2001
Zalgiris,ZAL,7,8.43,1.69,59,2001
Ural Great,PEM,10,5.70,1.14,57,2001
Alba Berlin,BER,7,7.86,1.57,55,2001
Telindus Oostende,OOS,7,7.57,1.49,53,2001
Asvel Basket,ASV,7,7.29,1.43,51,2001
Idea Slask,WRO,7,7.00,1.38,49,2001
Partizan,PAR,7,6.71,1.32,47,2001
Spirou Basket,CHA,7,6.57,1.31,46,2001
Cibona VIP,CIB,7,6.57,1.29,46,2001
Kinder London Towers,LON,7,6.14,1.23,43,2001
Pau-Orthez,PAU,7,6.00,1.20,42,2001
KRKA Novo Mesto,MES,7,5.43,1.09,38,2001
Benetton Basket,TRE,10,17.30,3.46,173,2002
Montepaschi Siena,SIE,12,13.67,2.73,164,2002
Skipper Bologna,FOR,10,13.70,2.71,137,2002
Maccabi Elite,TEL,10,13.50,2.67,135,2002
Virtus Bologna,VIR,10,13.10,2.62,131,2002
Efes Pilsen,IST,10,11.40,2.22,114,2002
Cibona VIP,CIB,10,10.40,2.03,104,2002
CSKA Moscow,CSK,10,10.30,2.06,103,2002
FC Barcelona,BAR,12,7.83,1.57,94,2002
Tau Ceramica,BAS,10,8.70,1.74,87,2002
Panathinaikos,PAN,10,8.00,1.60,80,2002
Union Olimpija,LJU,10,7.20,1.44,72,2002
Unicaja,MAL,10,7.10,1.42,71,2002
Ulker,ULK,10,7.00,1.38,70,2002
Partizan,PAR,7,8.71,1.74,61,2002
