Klub,Kratica,St_tekem,Povprecje,Na_40_min,Turnovers,Sezona
Kinder Bologna,VIR,12,14.92,2.95,179,2000
PAF Bologna,FOR,9,15.44,3.09,139,2000
AEK Athens,AEK,10,12.70,2.51,127,2000
Tau Ceramica,BAS,10,12.70,2.54,127,2000
Real Madrid,MAD,7,15.29,3.06,107,2000
Olympiakos,OLY,7,15.29,3.06,107,2000
Peristeri,PER,6,17.33,3.47,104,2000
Benetton Basket,TRE,7,14.71,2.94,103,2000
Ovarense Aerosoles,OVA,5,20.40,4.08,102,2000
FC Barcelona,BAR,6,15.50,3.10,93,2000
Lugano Snakes,LUG,5,18.20,3.64,91,2000
Cibona VIP,CIB,6,14.33,2.81,86,2000
Union Olimpija Ljubljana,LJU,7,12.29,2.48,86,2000
PAOK BC,PAO,7,11.86,2.33,83,2000
Adecco Estudiantes,EST,6,13.50,2.64,81,2000
Saint Petersburg Lions,PET,5,15.40,3.00,77,2000
Muller Verona,VER,6,12.17,2.43,73,2000
Hapoel Jerusalem,JER,5,13.80,2.76,69,2000
KK Zadar,ZAD,5,13.60,2.65,68,2000
Zalgiris Kaunas,ZAL,6,11.00,2.20,66,2000
Region Wallone Spirou Charleroi,CHA,5,13.00,2.60,65,2000
Opel Skyliners,FRA,5,13.00,2.60,65,2000
KK Buducnost,BUD,6,10.33,2.07,62,2000
Haribo London Towers,LON,5,11.20,2.24,56,2000
Real Madrid,MAD,10,16.90,3.38,169,2001
Kinder Bologna,VIR,11,15.27,3.06,168,2001
Panathinaikos,PAN,11,14.64,2.90,161,2001
FC Barcelona,BAR,10,15.40,3.08,154,2001
Olympiacos,OLY,10,15.20,2.97,152,2001
Skipper Bologna,FOR,10,14.80,2.92,148,2001
Ulker,ULK,10,14.20,2.84,142,2001
Tau Ceramica,BAS,10,14.10,2.82,141,2001
Ural Great,PEM,10,13.90,2.78,139,2001
Benetton Basket,TRE,11,12.36,2.44,136,2001
AEK Athens,AEK,10,13.00,2.57,130,2001
Union Olimpija,LJU,10,13.00,2.60,130,2001
Peristeri,PER,7,18.29,3.66,128,2001
CSKA Moscow,CSK,10,12.50,2.50,125,2001
Scavolini Pesaro,PES,10,12.50,2.50,125,2001
Efes Pilsen,IST,10,11.40,2.28,114,2001
Kinder London Towers,LON,7,15.57,3.11,109,2001
Pau-Orthez,PAU,7,15.43,3.09,108,2001
Asvel Basket,ASV,7,14.57,2.86,102,2001
Idea Slask,WRO,7,14.29,2.81,100,2001
Alba Berlin,BER,7,14.14,2.83,99,2001
KK Zadar,ZAD,7,14.00,2.77,98,2001
Unicaja,MAL,7,13.86,2.77,97,2001
Partizan,PAR,7,13.86,2.72,97,2001
Spirou Basket,CHA,7,13.57,2.71,95,2001
Cibona VIP,CIB,7,13.43,2.64,94,2001
KRKA Novo Mesto,MES,7,12.71,2.54,89,2001
Maccabi Elite,TEL,10,8.70,1.93,87,2001
Telindus Oostende,OOS,7,12.14,2.39,85,2001
Opel Skyliners,FRA,7,11.86,2.37,83,2001
KK Buducnost,BUD,7,11.71,2.48,82,2001
Zalgiris,ZAL,7,11.29,2.26,79,2001
FC Barcelona,BAR,12,13.67,2.73,164,2002
Skipper Bologna,FOR,10,15.70,3.10,157,2002
Montepaschi Siena,SIE,12,13.08,2.62,157,2002
Benetton Basket,TRE,10,15.60,3.12,156,2002
Virtus Bologna,VIR,10,15.40,3.08,154,2002
Cibona VIP,CIB,10,14.30,2.79,143,2002
Tau Ceramica,BAS,10,13.80,2.76,138,2002
Unicaja,MAL,10,12.30,2.46,123,2002
Panathinaikos,PAN,10,12.10,2.42,121,2002
Asvel Basket,ASV,10,11.50,2.27,115,2002
Efes Pilsen,IST,10,11.20,2.19,112,2002
Union Olimpija,LJU,10,11.20,2.24,112,2002
Maccabi Elite,TEL,10,10.50,2.07,105,2002
CSKA Moscow,CSK,10,10.10,2.02,101,2002
Olympiacos,OLY,10,10.10,2.02,101,2002
Ulker,ULK,10,10.00,1.98,100,2002
Real Madrid,MAD,7,13.57,2.71,95,2002
Alba Berlin,BER,7,13.14,2.63,92,2002
KK Buducnost,BUD,7,12.86,2.53,90,2002
AEK Athens,AEK,7,12.00,2.36,84,2002
Pau-Orthez,PAU,7,12.00,2.40,84,2002
Partizan,PAR,7,11.57,2.31,81,2002
Zalgiris,ZAL,7,11.00,2.20,77,2002
Idea Slask,WRO,7,9.43,1.89,66,2002
Montepaschi Siena,SIE,12,13.00,2.57,156,2003
Cibona VIP,CIB,10,14.20,2.84,142,2003
Pamesa Valencia,PAM,10,13.80,2.73,138,2003
Tau Ceramica,BAS,10,13.40,2.68,134,2003
Benetton Basket,TRE,10,13.20,2.61,132,2003
Skipper Bologna,FOR,10,13.10,2.53,131,2003
Maccabi Elite,TEL,12,10.58,2.28,127,2003
Ulker,ULK,10,12.60,2.52,126,2003
Efes Pilsen,IST,10,12.50,2.50,125,2003
Pau-Orthez,PAU,10,12.30,2.40,123,2003
Zalgiris,ZAL,10,12.30,2.46,123,2003
FC Barcelona,BAR,10,11.50,2.27,115,2003
Olympiacos,OLY,10,10.50,2.07,105,2003
CSKA Moscow,CSK,10,10.40,2.05,104,2003
Alba Berlin,BER,7,14.29,2.86,100,2003
Union Olimpija,LJU,10,9.90,1.96,99,2003
Unicaja,MAL,7,14.00,2.80,98,2003
Panathinaikos,PAN,10,9.50,1.90,95,2003
Lottomatica Roma,ROM,7,12.57,2.51,88,2003
AEK Athens,AEK,7,12.29,2.46,86,2003
Asvel Basket,ASV,7,12.14,2.43,85,2003
Partizan,PAR,7,12.14,2.43,85,2003
Idea Slask,WRO,7,10.57,2.11,74,2003
KRKA Novo Mesto,MES,7,10.29,2.06,72,2003
CSKA Moscow,CSK,13,13.54,2.66,176,2004
Panathinaikos,PAN,12,13.33,2.61,160,2004
Climamio Bologna,FOR,10,15.40,3.08,154,2004
Maccabi Elite,TEL,13,11.46,2.29,149,2004
Zalgiris,ZAL,10,14.80,2.92,148,2004
Tau Ceramica,BAS,11,13.36,2.67,147,2004
Prokom Trefl Sopot,SOP,10,14.50,2.86,145,2004
Ulker,ULK,11,12.45,2.49,137,2004
Scavolini Pesaro,PES,11,12.18,2.41,134,2004
Montepaschi Siena,SIE,10,13.40,2.65,134,2004
Benetton Basket,TRE,11,12.09,2.42,133,2004
Efes Pilsen,IST,11,12.00,2.40,132,2004
Real Madrid,MAD,10,13.20,2.61,132,2004
Cibona VIP,CIB,10,12.90,2.55,129,2004
AEK Athens,AEK,10,11.50,2.30,115,2004
Adecco Estudiantes,EST,7,16.43,3.29,115,2004
FC Barcelona,BAR,10,10.70,2.14,107,2004
Partizan,PAR,7,15.14,2.98,106,2004
Opel Skyliners,FRA,7,13.57,2.71,95,2004
Unicaja,MAL,7,13.29,2.66,93,2004
Pau-Orthez,PAU,7,13.29,2.66,93,2004
Olympiacos,OLY,7,13.14,2.58,92,2004
Union Olimpija,LJU,7,12.29,2.46,86,2004
Asvel Basket,ASV,7,11.57,2.27,81,2004
Maccabi Elite,TEL,13,12.38,2.43,161,2005
Winterthur FC Barcelona,BAR,14,11.43,2.29,160,2005
Climamio Bologna,FOR,10,15.30,3.06,153,2005
Olympiacos,OLY,11,13.64,2.70,150,2005
Ulker,ULK,10,15.00,3.00,150,2005
Unicaja,MAL,10,14.70,2.87,147,2005
Real Madrid,MAD,11,13.27,2.62,146,2005
CSKA Moscow,CSK,12,12.00,2.40,144,2005
Panathinaikos,PAN,12,12.00,2.40,144,2005
Efes Pilsen,IST,11,12.91,2.58,142,2005
Lietuvos Rytas,LIE,10,13.70,2.74,137,2005
Cibona VIP,CIB,10,13.20,2.64,132,2005
Zalgiris,ZAL,10,12.90,2.58,129,2005
GHP Bamberg,BAM,10,12.50,2.50,125,2005
Tau Ceramica,BAS,11,11.27,2.25,124,2005
Benetton Basket,TRE,10,10.80,2.13,108,2005
AJ Milano,MIL,7,15.29,3.00,107,2005
Pau-Orthez,PAU,7,14.57,2.91,102,2005
Montepaschi Siena,SIE,7,14.14,2.83,99,2005
Strasbourg,STR,7,14.00,2.75,98,2005
AEK Athens,AEK,7,13.57,2.71,95,2005
Union Olimpija,LJU,7,13.14,2.58,92,2005
Partizan,PAR,7,12.71,2.54,89,2005
Prokom Trefl Sopot,SOP,7,12.29,2.46,86,2005
Unicaja,MAL,12,16.08,3.22,193,2006
Panathinaikos,PAN,13,13.31,2.66,173,2006
Olympiacos,OLY,11,15.00,3.00,165,2006
DKV Joventut,JOV,10,16.20,3.24,162,2006
Dynamo Moscow,DYN,11,14.27,2.82,157,2006
CSKA Moscow,CSK,13,11.62,2.32,151,2006
Maccabi Elite,TEL,11,13.64,2.70,150,2006
Benetton Basket,TRE,10,14.40,2.88,144,2006
Lottomatica Roma,ROM,10,14.00,2.77,140,2006
Partizan,PAR,10,13.70,2.64,137,2006
Tau Ceramica,BAS,12,11.17,2.23,134,2006
Winterthur FC Barcelona,BAR,11,11.91,2.36,131,2006
Prokom Trefl Sopot,SOP,10,12.70,2.54,127,2006
Pau-Orthez,PAU,10,12.30,2.43,123,2006
Aris TT Bank,ARI,10,11.90,2.35,119,2006
Efes Pilsen,IST,10,11.80,2.33,118,2006
RheinEnergie,COL,7,16.43,3.29,115,2006
Eldo Napoli,NAP,7,16.14,3.12,113,2006
Cibona,CIB,7,16.00,3.09,112,2006
Le Mans,LEM,7,14.00,2.80,98,2006
Climamio Bologna,FOR,7,13.29,2.66,93,2006
Fenerbahce Ulker,ULK,7,13.00,2.55,91,2006
Union Olimpija,LJU,7,12.57,2.47,88,2006
Zalgiris,ZAL,7,12.57,2.43,88,2006
Maccabi Elite,TEL,13,12.85,2.57,167,2007
Fenerbahce Ulker,ULK,11,14.18,2.80,156,2007
Partizan Igokea,PAR,11,13.55,2.71,149,2007
Lietuvos Rytas,LIE,10,14.70,2.94,147,2007
Tau Ceramica,BAS,13,11.23,2.25,146,2007
Montepaschi Siena,SIE,13,11.00,2.18,143,2007
Panathinaikos,PAN,10,13.90,2.78,139,2007
Real Madrid,MAD,10,13.80,2.69,138,2007
AXA FC Barcelona,BAR,11,12.36,2.47,136,2007
Olympiacos,OLY,11,11.91,2.36,131,2007
CSKA Moscow,CSK,12,10.75,2.15,129,2007
Zalgiris,ZAL,10,12.80,2.56,128,2007
Aris TT Bank,ARI,10,12.70,2.51,127,2007
Lottomatica Roma,ROM,10,12.40,2.45,124,2007
Unicaja,MAL,10,11.90,2.38,119,2007
Brose Baskets,BAM,7,16.43,3.29,115,2007
Virtus VidiVici,VIR,7,16.43,3.29,115,2007
Efes Pilsen,IST,10,11.20,2.21,112,2007
Chorale Roanne,ROA,7,15.71,3.14,110,2007
Union Olimpija,LJU,7,14.14,2.83,99,2007
AJ Milano,MIL,7,13.29,2.66,93,2007
Prokom Trefl Sopot,SOP,7,13.14,2.63,92,2007
Le Mans,LEM,7,12.43,2.44,87,2007
Cibona,CIB,7,11.71,2.34,82,2007
Olympiacos,OLY,12,13.42,2.68,161,2008
Panathinaikos,PAN,11,13.91,2.75,153,2008
Montepaschi Siena,SIE,10,14.10,2.82,141,2008
Partizan,PAR,9,15.44,3.09,139,2008
Regal FC Barcelona,BAR,12,11.42,2.28,137,2008
Tau Ceramica,BAS,10,13.20,2.64,132,2008
Real Madrid,MAD,10,12.00,2.40,120,2008
Lottomatica Roma,ROM,8,14.88,2.88,119,2008
Asseco Prokom,SOP,8,14.50,2.90,116,2008
AJ Milano,MIL,8,14.25,2.85,114,2008
Cibona,CIB,8,14.13,2.78,113,2008
Unicaja,MAL,8,13.88,2.73,111,2008
Fenerbahce Ulker,ULK,8,13.75,2.63,110,2008
Alba Berlin,BER,8,12.63,2.52,101,2008
CSKA Moscow,CSK,10,10.10,2.02,101,2008
Maccabi Electra,TEL,8,12.25,2.41,98,2008
SLUC Nancy,NAN,5,15.80,3.16,79,2008
Union Olimpija,LJU,5,15.20,3.04,76,2008
Air Avellino,AVE,5,14.60,2.92,73,2008
Le Mans,LEM,5,14.20,2.77,71,2008
Zalgiris,ZAL,5,14.20,2.84,71,2008
Efes Pilsen,IST,5,13.40,2.68,67,2008
Panionios On Telecoms,NIO,5,11.60,2.32,58,2008
DKV Joventut,JOV,5,11.40,2.28,57,2008
Partizan,PAR,11,15.82,3.09,174,2009
Asseco Prokom,SOP,10,15.00,3.00,150,2009
Olympiacos,OLY,10,14.10,2.82,141,2009
Maccabi Electra,TEL,10,13.20,2.64,132,2009
Regal FC Barcelona,BAR,12,10.67,2.13,128,2009
CSKA Moscow,CSK,11,11.55,2.28,127,2009
Real Madrid,MAD,10,12.20,2.44,122,2009
Maroussi BC,MAR,8,15.13,3.02,121,2009
Unicaja,MAL,8,14.75,2.90,118,2009
Cibona,CIB,8,14.38,2.87,115,2009
Zalgiris Kaunas,ZAL,8,13.50,2.70,108,2009
Efes Pilsen,IST,8,13.13,2.58,105,2009
BC Khimki,KHI,8,13.13,2.55,105,2009
Caja Laboral,BAS,10,10.30,2.03,103,2009
Panathinaikos,PAN,8,12.88,2.57,103,2009
Montepaschi Siena,SIE,8,11.13,2.22,89,2009
Lietuvos Rytas,LIE,5,16.40,3.20,82,2009
EWE Baskets,OLD,5,16.40,3.28,82,2009
Asvel Basket,ASV,5,15.40,3.00,77,2009
Entente Orleanaise,ORL,5,15.20,3.04,76,2009
Union Olimpija,LJU,5,14.80,2.89,74,2009
Fenerbahce Ulker,ULK,5,14.40,2.88,72,2009
Armani Jeans Milano,MIL,5,13.80,2.76,69,2009
Lottomatica Roma,ROM,5,13.00,2.54,65,2009
Zalgiris Kaunas,ZAL,8,19.63,3.75,157,2010
Real Madrid,MAD,12,12.75,2.50,153,2010
Olympiacos Piraeus,OLY,10,15.00,3.00,150,2010
Regal Barcelona,BAR,10,13.80,2.76,138,2010
Panathinaikos Athens,PAN,11,12.36,2.44,136,2010
Maccabi Electra Tel Aviv,TEL,12,11.08,2.19,133,2010
Power Electronics Valencia,PAM,10,13.20,2.64,132,2010
