klub,faza,sezona,st_tekme,zmaga,kje,nasprotnik,rezultat
AEK,Regular Season,2000,1,W,doma,Kinder Bologna,78 - 77
AEK,Regular Season,2000,2,W,v gosteh,Saint Petersburg Lions,69 - 90
AEK,Regular Season,2000,3,W,doma,Region Wallone Spirou Charleroi,97 - 73
AEK,Regular Season,2000,4,W,doma,Cibona VIP,83 - 75
AEK,Regular Season,2000,5,L,v gosteh,Tau Ceramica,85 - 65
AEK,Regular Season,2000,6,L,v gosteh,Kinder Bologna,81 - 66
AEK,Regular Season,2000,7,W,doma,Saint Petersburg Lions,84 - 73
AEK,Regular Season,2000,8,W,v gosteh,Region Wallone Spirou Charleroi,89 - 97
AEK,Regular Season,2000,9,W,v gosteh,Cibona VIP,72 - 81
AEK,Regular Season,2000,10,W,doma,Tau Ceramica,64 - 52
AEK,Playoffs,2000,1,W,doma,Zalgiris Kaunas,69 - 60
AEK,Playoffs,2000,2,W,v gosteh,Zalgiris Kaunas,71 - 73
AEK,Playoffs,2000,3,W,doma,Benetton Basket,97 - 89
AEK,Playoffs,2000,4,L,v gosteh,Benetton Basket,90 - 74
AEK,Playoffs,2000,5,W,doma,Benetton Basket,71 - 56
AEK,Playoffs,2000,6,L,doma,Tau Ceramica,65 - 90
AEK,Playoffs,2000,7,L,doma,Tau Ceramica,67 - 70
AEK,Playoffs,2000,8,L,v gosteh,Tau Ceramica,76 - 62
AEK,Regular Season,2001,1,L,v gosteh,Asvel Basket,86 - 84
AEK,Regular Season,2001,2,W,doma,Partizan,106 - 70
AEK,Regular Season,2001,3,W,doma,Tau Ceramica,85 - 82
AEK,Regular Season,2001,4,W,v gosteh,Scavolini Pesaro,68 - 89
AEK,Regular Season,2001,5,W,doma,Telindus Oostende,86 - 79
AEK,Regular Season,2001,6,L,v gosteh,Ural Great,86 - 77
AEK,Regular Season,2001,7,W,doma,Cibona VIP,72 - 69
AEK,Regular Season,2001,8,W,doma,Asvel Basket,87 - 65
AEK,Regular Season,2001,9,W,v gosteh,Partizan,69 - 74
AEK,Regular Season,2001,10,L,v gosteh,Tau Ceramica,82 - 62
AEK,Regular Season,2001,11,L,doma,Scavolini Pesaro,68 - 70
AEK,Regular Season,2001,12,L,v gosteh,Telindus Oostende,102 - 73
AEK,Regular Season,2001,13,W,doma,Ural Great,99 - 85
AEK,Regular Season,2001,14,W,v gosteh,Cibona VIP,89 - 90
AEK,Top 16,2001,1,W,doma,Union Olimpija,97 - 87
AEK,Top 16,2001,2,L,v gosteh,Olympiacos,75 - 69
AEK,Top 16,2001,3,L,doma,Panathinaikos,66 - 73
AEK,Top 16,2001,4,W,v gosteh,Union Olimpija,69 - 85
AEK,Top 16,2001,5,L,v gosteh,Panathinaikos,96 - 92
