klub,sezona,ime,funkcija,narodnost,rojstvo
AEK,2000,"IVKOVIC, DUSAN",Head coach,Serbia,1943
AEK,2001,"SAKOTA, DRAGAN",Head coach,Greece,1952
AEK,2002,"SAKOTA, DRAGAN",Head coach,Greece,1952
AEK,2003,"KATSIKARIS, FOTIS",Head coach,Greece,1967
AEK,2004,"KATSIKARIS, FOTIS",Head coach,Greece,1967
AEK,2005,"KAKIOUSIS, ELEFTHERIOS",Head coach,Greece,1968
ARI,2006,"MAZZON, ANDREA",Head coach,Italy,1966
ARI,2007,"HERBERT, GORDON",Head coach,Finland,1959
ASV,2001,"TANJEVIC, BOGDAN",Head coach,Italy,1947
ASV,2002,"HERVE, PHILIPPE",Head coach,France,1963
ASV,2003,"HERVE, PHILIPPE",Head coach,France,1963
ASV,2004,"KUNTER, ERMAN",Head coach,France,1956
ASV,2009,"COLLET, VINCENT",Head coach,France,1963
AVE,2008,"MARKOVSKI, ZARE",Head coach,The former Yugoslav Republic of Macedonia,1960
BAM,2005,"BAUERMANN, DIRK",Head coach,Germany,1957
BAM,2007,"BAUERMANN, DIRK",Head coach,Germany,1957
BAM,2010,"FLEMING, CHRIS",Head coach,United States of America,1970
BAM,2011,"FLEMING, CHRIS",Head coach,United States of America,1970
BAM,2012,"FLEMING, CHRIS",Head coach,United States of America,1970
BAM,2013,"FLEMING, CHRIS",Head coach,United States of America,1970
BAM,2015,"TRINCHIERI, ANDREA",Head coach,Italy,1968
BAM,2016,"TRINCHIERI, ANDREA",Head coach,Italy,1968
BAM,2017,"BANCHI, LUCA",Head coach,Italy,1965
BAR,2000,"GARCIA RENESES, AITO",Head coach,Spain,1946
BAR,2001,"GARCIA RENESES, AITO",Head coach,Spain,1946
BAR,2002,"PESIC, SVETISLAV",Head coach,Germany,1949
BAR,2003,"PESIC, SVETISLAV",Head coach,Germany,1949
BAR,2004,"MONTES, JUAN",Head coach,Spain,1960
BAR,2005,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAR,2006,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAR,2007,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2008,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2009,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2010,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2011,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2012,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2013,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2014,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2015,"PASCUAL, XAVI",Head coach,Spain,1972
BAR,2016,"BARTZOKAS, GEORGIOS",Head coach,Greece,1965
BAR,2017,"PESIC, SVETISLAV",Head coach,Germany,1949
BAS,2000,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2001,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2002,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2003,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2004,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2005,"PERASOVIC, VELIMIR",Head coach,Croatia,1965
BAS,2006,"MALJKOVIC, BOZIDAR",Head coach,Serbia,1952
BAS,2007,"SPAHIJA, NEVEN",Head coach,Croatia,1962
BAS,2008,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2009,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2010,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2011,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2012,"IVANOVIC, DUSKO",Head coach,Montenegro,1957
BAS,2013,"SCARIOLO, SERGIO",Head coach,Italy,1961
BAS,2014,"NAVARRO, IBON",Head coach,Spain,1976
BAS,2015,"PERASOVIC, VELIMIR",Head coach,Croatia,1965
BAS,2016,"ALONSO, SITO",Head coach,Spain,1975
BAS,2017,"MARTINEZ, PEDRO",Head coach,Spain,1961
BER,2001,"MUTAPCIC, EMIR",Head coach,Germany,1960
BER,2002,"MUTAPCIC, EMIR",Head coach,Germany,1960
BER,2003,"MUTAPCIC, EMIR",Head coach,Germany,1960
BER,2008,"PAVICEVIC, LUKA",Head coach,Montenegro,1968
BER,2012,"OBRADOVIC, SASA",Head coach,Serbia,1969
BER,2014,"OBRADOVIC, SASA",Head coach,Serbia,1969
BES,2012,"KUNTER, ERMAN",Head coach,France,1956
BIL,2011,"KATSIKARIS, FOTIS",Head coach,Greece,1967
BUD,2000,"NIKOLIC, MIROSLAV",Head coach,Serbia,1956
BUD,2001,"RUSSO, DARKO",Head coach,Serbia,1962
BUD,2002,"DUROVIC, VLADE",Head coach,Serbia,1948
CED,2012,"MALJKOVIC, BOZIDAR",Head coach,Serbia,1952
CED,2014,"REPESA, JASMIN",Head coach,Croatia,1961
CED,2015,"MRSIC, VELJKO",Head coach,Croatia,1971
CHA,2000,"BOZZI, GIOVANNI",Head coach,Belgium,1963
CHA,2001,"BOZZI, GIOVANNI",Head coach,Belgium,1963
CHA,2010,"BOZZI, GIOVANNI",Head coach,Belgium,1963
CHA,2011,"BOZZI, GIOVANNI",Head coach,Belgium,1963
CHL,2012,"BEUGNOT, GREGOR",Head coach,France,1957
CHO,2010,"KUNTER, ERMAN",Head coach,France,1956
CIB,2000,"SPAHIJA, NEVEN",Head coach,Croatia,1962
CIB,2001,"REPESA, JASMIN",Head coach,Croatia,1961
CIB,2002,"REPESA, JASMIN",Head coach,Croatia,1961
CIB,2003,"ANZULOVIC, DRAZEN",Head coach,Croatia,1967
CIB,2004,"ANZULOVIC, DRAZEN",Head coach,Croatia,1967
CIB,2005,"ANZULOVIC, DRAZEN",Head coach,Croatia,1967
CIB,2006,"ANZULOVIC, DRAZEN",Head coach,Croatia,1967
CIB,2007,"SUNARA, IVAN",Head coach,Croatia,1959
CIB,2008,"PERASOVIC, VELIMIR",Head coach,Croatia,1965
CIB,2009,"PERASOVIC, VELIMIR",Head coach,Croatia,1965
CIB,2010,"RADULOVIC, ZDRAVKO",Head coach,Croatia,1966
COL,2006,"OBRADOVIC, SASA",Head coach,Serbia,1969
CSK,2001,"TIKHONENKO, VALERY",Head coach,Russian Federation,1964
CSK,2002,"IVKOVIC, DUSAN",Head coach,Serbia,1943
CSK,2003,"IVKOVIC, DUSAN",Head coach,Serbia,1943
